,date,month,city,cloud_cover,wind_speed,wind_gust,humidity,pressure,global_radiation,precipitation,sunshine,temp_min,temp_max,temp_mean
0,2000-01-01,1,De bilt,7.0,2.5,8.0,0.97,1.02,0.11,0.1,0.0,3.5,8.1,6.1
1,2000-01-02,1,De bilt,8.0,3.7,9.0,0.97,1.03,0.11,0.0,0.0,5.4,8.7,7.3
2,2000-01-03,1,De bilt,8.0,6.1,13.0,0.94,1.02,0.11,0.45,0.0,6.4,9.6,8.4
3,2000-01-04,1,De bilt,7.0,3.8,15.0,0.94,1.01,0.11,1.09,0.0,4.3,9.4,6.4
4,2000-01-05,1,De bilt,3.0,4.0,12.0,0.9,1.02,0.48,0.0,6.5,1.4,7.4,4.4
5,2000-01-06,1,De bilt,6.0,5.2,11.0,0.91,1.02,0.2,0.19,1.0,4.2,9.1,7.2
6,2000-01-07,1,De bilt,7.0,4.8,12.0,0.92,1.02,0.12,0.0,0.0,4.3,7.4,6.1
7,2000-01-08,1,De bilt,6.0,4.3,12.0,0.94,1.02,0.19,0.17,0.8,0.8,8.1,5.4
8,2000-01-09,1,De bilt,1.0,1.5,7.0,0.94,1.03,0.46,0.0,5.7,-2.6,7.0,0.8
9,2000-01-10,1,De bilt,3.0,1.8,5.0,0.97,1.04,0.47,0.0,5.8,-4.0,4.3,-0.8
10,2000-01-11,1,De bilt,6.0,4.0,8.0,0.87,1.04,0.33,0.0,2.9,-1.2,4.4,2.1
11,2000-01-12,1,De bilt,5.0,5.4,12.0,0.85,1.03,0.53,0.0,6.7,-0.6,2.6,0.7
12,2000-01-13,1,De bilt,7.0,4.2,10.0,0.83,1.02,0.23,0.0,1.3,-0.9,3.6,2.0
13,2000-01-14,1,De bilt,8.0,2.0,5.0,0.98,1.02,0.13,0.0,0.0,1.5,4.0,2.9
14,2000-01-15,1,De bilt,7.0,2.7,7.0,0.9,1.04,0.36,0.0,3.3,2.0,5.4,3.2
15,2000-01-16,1,De bilt,8.0,2.6,9.0,0.95,1.04,0.13,0.03,0.0,2.7,6.9,5.4
16,2000-01-17,1,De bilt,7.0,4.7,13.0,0.93,1.03,0.19,0.01,0.5,4.8,7.5,6.4
17,2000-01-18,1,De bilt,7.0,6.2,16.0,0.84,1.03,0.27,0.03,1.6,4.1,8.6,6.6
18,2000-01-19,1,De bilt,7.0,2.9,9.0,0.87,1.03,0.14,0.01,0.0,1.3,5.6,3.9
19,2000-01-20,1,De bilt,7.0,3.8,11.0,0.87,1.03,0.14,0.15,0.0,3.6,6.1,5.2
20,2000-01-21,1,De bilt,6.0,3.7,12.0,0.87,1.03,0.3,0.01,1.9,2.3,7.8,5.2
21,2000-01-22,1,De bilt,6.0,4.0,14.0,0.9,1.01,0.29,0.53,1.7,3.0,6.1,4.7
22,2000-01-23,1,De bilt,6.0,3.3,11.0,0.85,1.02,0.24,0.0,0.9,-4.0,4.4,1.1
23,2000-01-24,1,De bilt,3.0,1.7,6.0,0.76,1.03,0.66,0.0,7.7,-7.7,0.9,-2.8
24,2000-01-25,1,De bilt,5.0,3.1,9.0,0.83,1.03,0.4,0.0,3.1,-1.4,2.8,0.5
25,2000-01-26,1,De bilt,7.0,3.3,7.0,0.89,1.03,0.5,0.0,4.5,-1.1,5.5,2.4
26,2000-01-27,1,De bilt,7.0,5.4,11.0,0.86,1.03,0.16,0.0,0.0,0.5,3.8,2.4
27,2000-01-28,1,De bilt,7.0,7.1,18.0,0.86,1.01,0.16,0.03,0.0,-0.4,5.9,3.2
28,2000-01-29,1,De bilt,8.0,9.4,21.0,0.87,1.0,0.16,0.95,0.0,5.5,11.3,9.0
29,2000-01-30,1,De bilt,7.0,6.3,18.0,0.82,1.01,0.18,0.01,0.1,7.2,10.3,9.1
30,2000-01-31,1,De bilt,8.0,7.3,20.0,0.87,1.02,0.17,0.36,0.0,8.7,10.8,9.7
31,2000-02-01,2,De bilt,8.0,6.9,15.0,0.82,1.02,0.26,0.14,0.7,7.6,10.2,9.0
32,2000-02-02,2,De bilt,4.0,4.7,12.0,0.87,1.02,0.54,0.74,4.4,6.0,9.0,7.4
33,2000-02-03,2,De bilt,5.0,3.8,11.0,0.85,1.03,0.43,0.0,2.7,3.4,9.1,6.4
34,2000-02-04,2,De bilt,8.0,6.4,14.0,0.91,1.03,0.18,0.23,0.0,5.6,9.2,7.6
35,2000-02-05,2,De bilt,5.0,4.9,11.0,0.75,1.03,0.77,0.0,7.5,6.1,11.8,8.4
36,2000-02-06,2,De bilt,8.0,4.6,11.0,0.88,1.02,0.19,0.06,0.0,5.4,8.9,7.6
37,2000-02-07,2,De bilt,7.0,6.8,17.0,0.87,1.01,0.52,0.69,3.5,6.3,9.4,7.9
38,2000-02-08,2,De bilt,5.0,7.3,16.0,0.79,1.0,0.27,0.63,0.5,6.3,11.9,8.6
39,2000-02-09,2,De bilt,6.0,6.3,17.0,0.73,1.02,0.35,0.0,1.3,4.9,8.5,6.5
40,2000-02-10,2,De bilt,5.0,5.8,16.0,0.82,1.02,0.38,0.95,1.5,3.5,8.2,5.8
41,2000-02-11,2,De bilt,1.0,3.9,10.0,0.83,1.03,0.86,0.0,7.7,0.5,8.9,4.6
42,2000-02-12,2,De bilt,4.0,5.8,16.0,0.86,1.02,0.53,0.41,3.1,2.1,6.9,4.5
43,2000-02-13,2,De bilt,4.0,4.3,15.0,0.82,1.02,0.77,0.0,6.1,1.5,8.3,5.2
44,2000-02-14,2,De bilt,5.0,3.7,10.0,0.88,1.02,0.66,0.25,4.5,-0.8,8.0,4.5
45,2000-02-15,2,De bilt,7.0,3.5,10.0,0.86,1.01,0.51,0.18,2.6,4.3,9.1,6.6
46,2000-02-16,2,De bilt,6.0,5.4,16.0,0.79,1.0,0.82,1.45,6.3,0.3,6.3,3.7
47,2000-02-17,2,De bilt,6.0,4.4,16.0,0.78,1.01,0.77,0.1,5.5,0.9,7.9,3.6
48,2000-02-18,2,De bilt,8.0,4.8,13.0,0.89,1.0,0.26,0.72,0.1,0.8,8.4,4.9
49,2000-02-19,2,De bilt,6.0,4.6,14.0,0.86,1.01,0.35,0.09,0.7,1.3,6.8,4.8
50,2000-02-20,2,De bilt,3.0,2.3,11.0,0.84,1.03,1.04,0.0,8.5,-2.8,7.8,2.2
51,2000-02-21,2,De bilt,7.0,2.8,8.0,0.91,1.03,0.69,0.06,4.0,-3.7,6.0,2.2
52,2000-02-22,2,De bilt,7.0,2.1,7.0,0.96,1.02,0.48,0.0,1.7,-0.7,6.5,2.8
53,2000-02-23,2,De bilt,4.0,2.8,9.0,0.88,1.02,0.87,0.0,5.8,-1.5,10.0,5.1
54,2000-02-24,2,De bilt,8.0,4.6,11.0,0.82,1.02,0.48,1.19,1.6,4.3,9.7,7.8
55,2000-02-25,2,De bilt,3.0,3.4,11.0,0.83,1.02,1.08,1.12,8.1,2.9,9.2,5.4
56,2000-02-26,2,De bilt,2.0,2.7,7.0,0.82,1.03,1.1,0.0,8.1,-0.7,9.5,3.4
57,2000-02-27,2,De bilt,7.0,5.5,13.0,0.72,1.02,1.07,0.0,7.6,0.6,12.3,7.6
58,2000-02-28,2,De bilt,6.0,6.7,18.0,0.8,1.01,0.37,0.12,0.5,5.3,12.7,9.2
59,2000-02-29,2,De bilt,6.0,6.9,18.0,0.87,1.0,0.59,1.11,2.2,3.9,8.8,6.5
60,2000-03-01,3,De bilt,6.0,4.3,13.0,0.83,1.0,0.88,0.32,4.1,2.6,8.2,5.3
61,2000-03-02,3,De bilt,6.0,6.8,20.0,0.86,1.01,0.71,1.62,2.4,1.4,8.2,4.9
