,date,month,city,cloud_cover,wind_speed,wind_gust,humidity,pressure,global_radiation,precipitation,sunshine,temp_min,temp_max,temp_mean
3654,2000-01-01,1,Dresden,8.0,3.2,7.2,0.89,1.02,0.09,0.32,0.0,-1.8,2.0,1.0
3655,2000-01-02,1,Dresden,7.0,4.0,8.8,0.89,1.02,0.23,0.0,0.4,1.4,4.0,2.5
3656,2000-01-03,1,Dresden,7.0,5.4,12.1,0.79,1.02,0.18,0.0,0.0,1.3,5.1,4.2
3657,2000-01-04,1,Dresden,8.0,6.0,14.4,0.88,1.02,0.11,0.22,0.0,3.4,5.2,4.4
3658,2000-01-05,1,Dresden,2.0,5.6,15.8,0.76,1.02,0.49,0.0,5.7,-0.5,6.9,1.8
3659,2000-01-06,1,Dresden,1.0,5.2,9.0,0.81,1.02,0.55,0.03,7.3,-2.7,6.3,1.5
3660,2000-01-07,1,Dresden,5.0,3.4,6.7,0.93,1.02,0.29,0.02,1.0,-0.1,5.4,2.0
3661,2000-01-08,1,Dresden,4.0,4.5,8.4,0.79,1.02,0.22,0.0,2.3,-0.3,5.3,3.6
3662,2000-01-09,1,Dresden,8.0,2.7,5.9,0.95,1.02,0.09,0.15,0.0,1.3,4.0,1.9
3663,2000-01-10,1,Dresden,8.0,1.8,4.9,0.92,1.02,0.29,0.0,0.7,-1.0,3.7,0.6
3664,2000-01-11,1,Dresden,3.0,2.6,6.3,0.84,1.02,0.48,0.0,5.6,-2.4,3.0,-0.7
3665,2000-01-12,1,Dresden,0.0,5.0,12.5,0.77,1.02,0.6,0.0,7.6,-4.8,0.9,-2.5
3666,2000-01-13,1,Dresden,0.0,7.8,14.5,0.76,1.02,0.57,0.0,7.1,-5.2,-2.1,-4.4
3667,2000-01-14,1,Dresden,8.0,4.2,9.1,0.78,1.02,0.37,0.0,1.8,-5.9,0.0,-1.7
3668,2000-01-15,1,Dresden,8.0,2.7,7.2,0.92,1.02,0.14,0.0,0.0,-2.2,-0.8,-1.4
3669,2000-01-16,1,Dresden,8.0,4.5,12.0,0.92,1.02,0.16,0.34,0.0,-4.8,1.3,-0.2
3670,2000-01-17,1,Dresden,8.0,9.2,18.1,0.95,1.02,0.08,0.86,0.0,1.2,5.6,4.8
3671,2000-01-18,1,Dresden,5.0,8.2,18.0,0.8,1.02,0.28,0.7,1.1,0.1,5.9,2.2
3672,2000-01-19,1,Dresden,4.0,6.0,12.4,0.8,1.02,0.41,0.0,1.6,-1.9,0.9,-1.0
3673,2000-01-20,1,Dresden,8.0,8.9,19.7,0.9,1.02,0.09,0.62,0.0,-2.8,2.0,1.1
3674,2000-01-21,1,Dresden,6.0,7.6,27.8,0.8,1.02,0.3,0.03,0.7,-4.3,2.6,-1.8
3675,2000-01-22,1,Dresden,8.0,3.3,7.3,0.92,1.02,0.26,0.23,0.0,-4.1,-0.2,-2.2
3676,2000-01-23,1,Dresden,3.0,3.4,7.9,0.82,1.02,0.61,0.0,5.0,-10.9,-2.0,-8.2
3677,2000-01-24,1,Dresden,5.0,3.0,7.5,0.89,1.02,0.48,0.04,2.7,-13.3,-5.7,-8.2
3678,2000-01-25,1,Dresden,3.0,3.2,7.6,0.73,1.02,0.87,0.0,8.3,-11.8,-5.1,-6.9
3679,2000-01-26,1,Dresden,8.0,7.2,12.1,0.87,1.02,0.32,0.02,0.0,-7.1,0.0,-1.0
3680,2000-01-27,1,Dresden,8.0,7.6,13.5,0.83,1.02,0.18,0.0,0.0,0.0,1.3,0.7
3681,2000-01-28,1,Dresden,8.0,8.3,14.0,0.61,1.02,0.38,0.0,0.8,-0.7,2.3,1.2
3682,2000-01-29,1,Dresden,8.0,10.9,22.2,0.77,1.02,0.12,1.27,0.0,1.4,7.4,5.8
3683,2000-01-30,1,Dresden,6.0,8.4,20.7,0.68,1.02,0.58,0.29,3.8,3.1,7.4,4.7
3684,2000-01-31,1,Dresden,5.0,9.9,28.2,0.81,1.02,0.17,0.58,0.2,3.4,9.5,7.4
3685,2000-02-01,2,Dresden,6.0,5.7,11.8,0.78,1.02,0.27,0.01,0.9,5.0,8.7,6.9
3686,2000-02-02,2,Dresden,7.0,6.7,13.1,0.81,1.02,0.14,0.28,0.0,4.8,8.2,6.0
3687,2000-02-03,2,Dresden,6.0,8.1,18.1,0.85,1.02,0.42,0.04,2.2,1.7,5.5,3.0
3688,2000-02-04,2,Dresden,7.0,7.1,16.4,0.79,1.02,0.54,0.21,1.4,0.9,6.9,5.2
3689,2000-02-05,2,Dresden,5.0,6.7,14.9,0.83,1.02,0.43,0.0,1.2,5.6,11.6,8.9
3690,2000-02-06,2,Dresden,5.0,3.8,9.6,0.68,1.02,0.53,0.0,1.6,6.5,15.0,10.0
3691,2000-02-07,2,Dresden,7.0,6.6,16.5,0.71,1.02,0.23,0.05,0.0,5.5,10.4,7.8
3692,2000-02-08,2,Dresden,7.0,9.3,20.9,0.71,1.02,0.32,0.5,0.0,5.9,11.3,10.1
3693,2000-02-09,2,Dresden,8.0,10.2,22.7,0.79,1.02,0.46,0.16,1.4,1.6,11.4,4.0
3694,2000-02-10,2,Dresden,7.0,6.5,14.0,0.64,1.02,0.58,0.27,3.7,4.2,8.2,5.9
3695,2000-02-11,2,Dresden,5.0,4.6,13.9,0.85,1.02,0.31,0.0,0.1,1.0,7.6,2.7
