,date,month,city,cloud_cover,wind_speed,wind_gust,humidity,pressure,global_radiation,precipitation,sunshine,temp_min,temp_max,temp_mean
7308,2000-01-01,1,Dusseldorf,8.0,2.5,5.9,0.92,1.02,0.12,0.22,0.0,2.5,6.9,4.2
7309,2000-01-02,1,Dusseldorf,6.0,3.0,7.4,0.87,1.03,0.19,0.0,0.7,2.7,7.9,6.5
7310,2000-01-03,1,Dusseldorf,7.0,5.5,14.3,0.78,1.02,0.12,0.28,0.0,6.9,9.1,7.7
7311,2000-01-04,1,Dusseldorf,7.0,6.0,16.8,0.87,1.02,0.12,0.97,0.0,6.6,9.2,7.8
7312,2000-01-05,1,Dusseldorf,4.0,4.5,11.2,0.8,1.02,0.51,0.0,6.5,0.4,8.6,5.2
7313,2000-01-06,1,Dusseldorf,6.0,5.5,12.3,0.83,1.02,0.34,0.18,2.8,4.3,10.4,7.6
7314,2000-01-07,1,Dusseldorf,6.0,4.5,9.4,0.79,1.02,0.32,0.0,2.5,4.7,8.7,6.6
7315,2000-01-08,1,Dusseldorf,8.0,4.7,9.5,0.85,1.02,0.12,0.12,0.0,5.4,7.9,6.6
7316,2000-01-09,1,Dusseldorf,6.0,1.2,5.2,0.94,1.03,0.12,0.0,0.0,0.5,6.8,2.5
7317,2000-01-10,1,Dusseldorf,8.0,1.3,4.3,0.96,1.04,0.13,0.0,0.0,0.4,2.4,1.1
7318,2000-01-11,1,Dusseldorf,3.0,4.4,9.3,0.86,1.04,0.49,0.0,5.4,-0.5,2.9,0.7
7319,2000-01-12,1,Dusseldorf,4.0,5.5,10.7,0.79,1.03,0.52,0.0,6.0,-0.9,4.6,2.1
7320,2000-01-13,1,Dusseldorf,6.0,4.3,9.1,0.73,1.02,0.13,0.02,0.0,-0.7,3.5,1.3
7321,2000-01-14,1,Dusseldorf,8.0,2.2,5.4,0.85,1.02,0.13,0.0,0.0,-1.0,4.8,3.3
7322,2000-01-15,1,Dusseldorf,7.0,2.5,10.1,0.77,1.03,0.21,0.0,0.6,1.1,4.2,2.5
7323,2000-01-16,1,Dusseldorf,8.0,2.6,8.4,0.93,1.04,0.14,0.23,0.0,0.7,5.7,4.2
7324,2000-01-17,1,Dusseldorf,8.0,5.0,10.3,0.9,1.03,0.14,0.13,0.0,5.1,7.0,6.2
