,date,month,city,cloud_cover,wind_speed,wind_gust,humidity,pressure,global_radiation,precipitation,sunshine,temp_min,temp_max,temp_mean
10962,2000-01-01,1,Heathrow,7.0,3.43,10.06,0.94,1.02,0.18,0.0,0.4,4.9,10.8,7.0
10963,2000-01-02,1,Heathrow,7.0,3.43,10.06,0.89,1.03,0.2,0.02,0.7,5.0,11.5,7.9
10964,2000-01-03,1,Heathrow,8.0,3.43,10.06,0.91,1.02,0.13,0.6,0.0,7.2,9.5,9.4
10965,2000-01-04,1,Heathrow,5.0,3.43,10.06,0.89,1.01,0.34,0.02,2.9,4.4,11.0,7.0
10966,2000-01-05,1,Heathrow,5.0,3.43,10.06,0.85,1.01,0.25,0.08,1.3,1.9,10.8,6.4
10967,2000-01-06,1,Heathrow,6.0,3.43,10.06,0.84,1.01,0.2,0.0,0.6,7.0,11.0,8.9
10968,2000-01-07,1,Heathrow,6.0,3.43,10.06,0.82,1.02,0.31,0.2,2.2,3.4,9.2,7.2
10969,2000-01-08,1,Heathrow,4.0,3.43,10.06,0.81,1.02,0.52,0.0,6.4,5.7,7.2,7.4
10970,2000-01-09,1,Heathrow,0.0,3.43,10.06,0.84,1.03,0.55,0.02,7.1,-0.7,7.8,3.2
10971,2000-01-10,1,Heathrow,5.0,3.43,10.06,0.86,1.03,0.4,0.0,3.7,-3.3,10.2,2.2
10972,2000-01-11,1,Heathrow,7.0,3.43,10.06,0.85,1.03,0.16,0.0,0.1,0.6,8.2,5.4
10973,2000-01-12,1,Heathrow,7.0,3.43,10.06,0.81,1.02,0.14,0.28,0.0,7.8,5.0,8.0
10974,2000-01-13,1,Heathrow,7.0,3.43,10.06,0.87,1.02,0.14,0.02,0.0,2.7,6.3,3.8
10975,2000-01-14,1,Heathrow,6.0,3.43,10.06,0.86,1.02,0.45,0.03,4.2,-0.5,6.7,2.9
10976,2000-01-15,1,Heathrow,6.0,3.43,10.06,0.86,1.04,0.25,0.0,0.9,2.6,7.2,4.6
10977,2000-01-16,1,Heathrow,6.0,3.43,10.06,0.83,1.04,0.44,0.0,3.9,2.2,8.6,4.7
10978,2000-01-17,1,Heathrow,5.0,3.43,10.06,0.91,1.04,0.44,0.0,3.8,0.3,8.4,4.4
10979,2000-01-18,1,Heathrow,6.0,3.43,10.06,0.88,1.04,0.15,0.02,0.0,1.2,7.3,4.8
10980,2000-01-19,1,Heathrow,6.0,3.43,10.06,0.83,1.04,0.24,0.0,0.6,3.6,5.3,5.4
10981,2000-01-20,1,Heathrow,6.0,3.43,10.06,0.9,1.03,0.16,0.0,0.0,-2.2,9.2,1.6
10982,2000-01-21,1,Heathrow,5.0,3.43,10.06,0.8,1.03,0.59,0.02,6.2,0.7,7.8,5.0
10983,2000-01-22,1,Heathrow,5.0,3.43,10.06,0.75,1.02,0.36,0.12,2.1,2.6,7.3,5.2
10984,2000-01-23,1,Heathrow,5.0,3.43,10.06,0.75,1.02,0.57,0.0,5.4,0.8,5.8,4.0
10985,2000-01-24,1,Heathrow,5.0,3.43,10.06,0.8,1.03,0.61,0.0,6.0,0.4,3.7,3.1
10986,2000-01-25,1,Heathrow,6.0,3.43,10.06,0.91,1.03,0.28,0.0,0.8,-2.7,6.1,0.5
10987,2000-01-26,1,Heathrow,3.0,3.43,10.06,0.85,1.03,0.68,0.0,7.2,0.2,5.2,3.2
10988,2000-01-27,1,Heathrow,0.0,3.43,10.06,0.84,1.03,0.74,0.0,8.1,-3.5,10.8,0.8
10989,2000-01-28,1,Heathrow,7.0,3.43,10.06,0.82,1.01,0.2,0.22,0.1,-1.8,13.5,4.5
10990,2000-01-29,1,Heathrow,7.0,3.43,10.06,0.82,1.0,0.49,0.0,3.3,3.4,12.9,8.4
10991,2000-01-30,1,Heathrow,7.0,3.43,10.06,0.77,1.01,0.24,0.0,0.3,10.4,12.7,11.6
10992,2000-01-31,1,Heathrow,7.0,3.43,10.06,0.77,1.02,0.25,0.0,0.3,10.3,10.7,11.5
10993,2000-02-01,2,Heathrow,8.0,3.43,10.06,0.85,1.02,0.19,0.98,0.0,9.1,10.6,9.9
10994,2000-02-02,2,Heathrow,4.0,3.43,10.06,0.75,1.02,0.74,0.0,6.9,5.8,9.3,8.2
10995,2000-02-03,2,Heathrow,7.0,3.43,10.06,0.85,1.03,0.28,0.0,0.5,2.7,11.0,6.0
10996,2000-02-04,2,Heathrow,7.0,3.43,10.06,0.86,1.03,0.2,0.0,0.0,4.7,11.6,7.8
10997,2000-02-05,2,Heathrow,7.0,3.43,10.06,0.8,1.03,0.42,0.0,1.8,7.3,12.1,9.4
10998,2000-02-06,2,Heathrow,8.0,3.43,10.06,0.88,1.02,0.24,0.18,0.1,7.2,11.0,9.6
10999,2000-02-07,2,Heathrow,6.0,3.43,10.06,0.81,1.01,0.21,0.38,0.0,5.0,13.8,8.0
11000,2000-02-08,2,Heathrow,5.0,3.43,10.06,0.73,1.01,0.59,0.22,3.6,7.0,10.6,10.4
11001,2000-02-09,2,Heathrow,5.0,3.43,10.06,0.68,1.02,0.52,0.06,2.6,2.9,10.1,6.8
11002,2000-02-10,2,Heathrow,5.0,3.43,10.06,0.71,1.02,0.48,0.3,2.0,5.9,10.4,8.0
11003,2000-02-11,2,Heathrow,3.0,3.43,10.06,0.76,1.03,0.8,0.38,6.2,-0.1,9.6,5.2
11004,2000-02-12,2,Heathrow,6.0,3.43,10.06,0.75,1.02,0.61,0.08,3.4,3.2,9.9,6.4
11005,2000-02-13,2,Heathrow,3.0,3.43,10.06,0.69,1.02,0.97,0.0,8.5,4.8,10.2,7.4
11006,2000-02-14,2,Heathrow,5.0,3.43,10.06,0.9,1.02,0.43,0.18,1.2,-1.1,8.6,4.6
11007,2000-02-15,2,Heathrow,6.0,3.43,10.06,0.82,1.01,0.53,0.12,2.2,2.3,8.0,5.4
11008,2000-02-16,2,Heathrow,3.0,3.43,10.06,0.68,1.0,0.97,0.0,7.8,1.4,9.6,4.7
11009,2000-02-17,2,Heathrow,6.0,3.43,10.06,0.71,1.01,0.94,0.22,7.2,2.3,11.0,6.0
11010,2000-02-18,2,Heathrow,6.0,3.43,10.06,0.77,1.0,0.68,0.02,3.5,3.1,9.1,7.0
11011,2000-02-19,2,Heathrow,5.0,3.43,10.06,0.74,1.02,0.82,0.02,5.2,6.1,8.7,7.6
11012,2000-02-20,2,Heathrow,4.0,3.43,10.06,0.77,1.03,1.05,0.06,8.2,-1.0,10.0,3.8
11013,2000-02-21,2,Heathrow,6.0,3.43,10.06,0.76,1.03,0.9,0.0,5.9,1.5,9.5,5.8
11014,2000-02-22,2,Heathrow,6.0,3.43,10.06,0.78,1.02,0.73,0.0,3.7,-0.3,11.7,4.6
11015,2000-02-23,2,Heathrow,8.0,3.43,10.06,0.89,1.02,0.32,0.0,0.1,3.9,11.2,7.8
11016,2000-02-24,2,Heathrow,8.0,3.43,10.06,0.79,1.02,0.54,1.68,1.5,7.6,10.0,9.4
11017,2000-02-25,2,Heathrow,2.0,3.43,10.06,0.75,1.03,1.21,0.0,9.3,2.2,10.6,6.1
