,date,month,city,cloud_cover,wind_speed,wind_gust,humidity,pressure,global_radiation,precipitation,sunshine,temp_min,temp_max,temp_mean
14616,2000-01-01,1,Kassel,5.32,2.5,8.2,0.93,1.02,0.06,0.13,0.0,1.5,5.0,3.5
14617,2000-01-02,1,Kassel,5.32,2.9,9.6,0.92,1.03,0.33,0.0,2.9,0.3,4.7,2.3
14618,2000-01-03,1,Kassel,5.32,4.8,11.9,0.9,1.03,0.2,0.01,0.0,2.2,4.6,3.5
14619,2000-01-04,1,Kassel,5.32,4.5,12.7,0.94,1.02,0.06,0.44,0.0,3.5,5.6,4.8
14620,2000-01-05,1,Kassel,5.32,2.4,8.8,0.84,1.02,0.48,0.0,6.7,0.2,6.3,2.3
14621,2000-01-06,1,Kassel,5.32,3.7,11.8,0.94,1.02,0.08,0.0,0.0,0.4,4.4,3.6
14622,2000-01-07,1,Kassel,5.32,3.0,7.8,0.92,1.02,0.23,0.0,1.4,3.5,6.6,4.4
14623,2000-01-08,1,Kassel,5.32,3.6,10.4,0.87,1.02,0.17,0.0,0.0,2.8,5.1,4.2
14624,2000-01-09,1,Kassel,5.32,1.9,6.6,0.89,1.02,0.27,0.0,0.5,1.7,6.4,3.4
14625,2000-01-10,1,Kassel,5.32,1.3,5.2,0.81,1.03,0.34,0.0,2.7,0.7,4.5,1.8
14626,2000-01-11,1,Kassel,5.32,2.4,9.0,0.9,1.04,0.44,0.0,3.8,-4.1,1.5,-0.7
14627,2000-01-12,1,Kassel,5.32,4.5,11.3,0.89,1.03,0.09,0.0,0.0,-0.6,1.1,-0.1
14628,2000-01-13,1,Kassel,5.32,3.5,11.6,0.85,1.02,0.11,0.0,0.0,-2.2,-0.5,-1.3
14629,2000-01-14,1,Kassel,5.32,2.0,6.2,0.88,1.02,0.1,0.0,0.0,-0.9,2.0,1.2
14630,2000-01-15,1,Kassel,5.32,1.8,8.7,0.81,1.03,0.17,0.0,0.0,0.3,2.8,0.9
14631,2000-01-16,1,Kassel,5.32,1.8,6.6,0.95,1.03,0.16,0.05,0.0,-1.4,2.9,1.4
14632,2000-01-17,1,Kassel,5.32,4.2,17.6,0.9,1.02,0.13,0.0,0.0,2.6,6.3,5.9
14633,2000-01-18,1,Kassel,5.32,5.6,20.7,0.83,1.02,0.23,0.42,0.4,2.1,6.2,3.6
14634,2000-01-19,1,Kassel,5.32,1.7,8.3,0.83,1.03,0.41,0.0,2.5,-1.5,3.5,-0.1
14635,2000-01-20,1,Kassel,5.32,2.3,11.5,0.9,1.03,0.1,0.55,0.0,-2.7,3.3,2.5
14636,2000-01-21,1,Kassel,5.32,4.1,17.4,0.8,1.02,0.26,0.16,0.7,0.2,4.3,1.8
14637,2000-01-22,1,Kassel,5.32,2.0,6.6,0.96,1.01,0.12,0.82,0.0,0.0,2.1,0.7
14638,2000-01-23,1,Kassel,5.32,2.7,8.7,0.78,1.02,0.48,0.09,3.6,-7.2,0.9,-4.4
14639,2000-01-24,1,Kassel,5.32,1.0,5.0,0.83,1.03,0.66,0.0,5.8,-10.3,-2.3,-6.5
14640,2000-01-25,1,Kassel,5.32,2.3,6.6,0.83,1.03,0.72,0.0,7.7,-10.1,-2.1,-6.2
14641,2000-01-26,1,Kassel,5.32,3.8,8.5,0.86,1.03,0.29,0.02,0.0,-7.0,-1.3,-2.8
14642,2000-01-27,1,Kassel,5.32,3.4,8.3,0.89,1.03,0.16,0.0,0.0,-2.3,-0.4,-1.6
14643,2000-01-28,1,Kassel,5.32,4.5,10.7,0.7,1.02,0.36,0.01,1.7,-5.6,0.7,-0.8
14644,2000-01-29,1,Kassel,5.32,5.1,14.2,0.93,1.0,0.09,1.5,0.0,0.7,8.2,5.7
14645,2000-01-30,1,Kassel,5.32,3.7,15.5,0.76,1.01,0.48,0.21,1.9,4.7,8.0,6.5
14646,2000-01-31,1,Kassel,5.32,3.3,15.3,0.89,1.02,0.18,0.18,0.0,6.8,10.6,8.3
