,date,month,city,cloud_cover,wind_speed,wind_gust,humidity,pressure,global_radiation,precipitation,sunshine,temp_min,temp_max,temp_mean
18270,2000-01-01,1,Tours,8.0,3.1,7.0,0.98,1.03,0.06,0.17,0.0,4.1,6.9,5.6
18271,2000-01-02,1,Tours,7.0,3.8,9.0,0.95,1.03,0.14,0.0,0.0,4.2,7.5,6.2
18272,2000-01-03,1,Tours,7.0,7.4,14.0,0.87,1.02,0.15,0.02,0.9,6.1,7.9,6.8
18273,2000-01-04,1,Tours,8.0,7.2,15.0,0.92,1.02,0.07,1.33,0.0,6.1,9.0,7.3
18274,2000-01-05,1,Tours,4.0,4.1,10.0,0.87,1.02,0.44,0.0,6.2,0.6,8.4,5.2
18275,2000-01-06,1,Tours,6.0,5.3,12.0,0.86,1.02,0.33,0.26,2.7,3.3,10.3,7.3
18276,2000-01-07,1,Tours,6.0,6.0,14.0,0.86,1.02,0.32,0.0,3.3,4.6,7.8,6.6
18277,2000-01-08,1,Tours,7.0,4.8,11.0,0.91,1.02,0.19,0.09,0.9,4.6,7.3,5.9
18278,2000-01-09,1,Tours,6.0,1.8,4.0,0.95,1.03,0.36,0.0,3.4,-0.4,6.1,4.0
18279,2000-01-10,1,Tours,7.0,1.7,4.0,1.0,1.04,0.21,0.0,0.0,-3.1,2.1,-0.3
18280,2000-01-11,1,Tours,3.0,3.5,8.0,0.92,1.04,0.61,0.0,6.7,-3.4,3.5,-0.2
18281,2000-01-12,1,Tours,5.0,5.1,10.0,0.86,1.03,0.52,0.0,7.2,-2.2,3.8,0.4
18282,2000-01-13,1,Tours,8.0,4.4,10.0,0.78,1.02,0.21,0.0,2.1,0.7,3.3,1.9
18283,2000-01-14,1,Tours,8.0,2.7,6.0,0.93,1.02,0.14,0.0,0.0,1.5,3.4,2.8
18284,2000-01-15,1,Tours,8.0,3.3,9.0,0.88,1.03,0.1,0.0,0.7,0.4,5.1,2.4
18285,2000-01-16,1,Tours,8.0,2.5,7.0,0.96,1.04,0.11,0.17,0.0,-0.8,5.0,2.5
18286,2000-01-17,1,Tours,8.0,4.5,10.0,0.96,1.03,0.12,0.09,0.3,4.3,7.1,5.5
18287,2000-01-18,1,Tours,8.0,5.8,15.0,0.9,1.03,0.13,0.17,0.2,3.8,7.7,5.7
18288,2000-01-19,1,Tours,7.0,3.5,7.0,0.86,1.03,0.16,0.0,0.0,2.7,4.8,3.6
18289,2000-01-20,1,Tours,8.0,3.9,10.0,0.93,1.03,0.13,0.04,0.0,2.4,4.4,3.3
18290,2000-01-21,1,Tours,8.0,4.1,12.0,0.94,1.03,0.13,0.46,0.2,3.4,6.3,4.4
18291,2000-01-22,1,Tours,7.0,5.2,16.0,0.95,1.01,0.15,0.53,0.0,1.9,5.1,3.2
18292,2000-01-23,1,Tours,7.0,4.4,11.0,0.9,1.02,0.08,0.06,0.0,-4.4,3.4,1.0
18293,2000-01-24,1,Tours,2.0,1.5,4.0,0.79,1.03,0.72,0.0,7.8,-6.2,0.2,-3.4
