,date,de_bbq_weather,dresden_bbq_weather,dusseldorf_bbq_weather,heathrow_bbq_weather,kassel_bbq_weather,maastricht_bbq_weather,muenchen_bbq_weather,oslo_bbq_weather,stockholm_bbq_weather,tours_bbq_weather
0,20000101,False,False,False,False,False,False,False,False,False,False
1,20000102,False,False,False,False,False,False,False,False,False,False
2,20000103,False,False,False,False,False,False,False,False,False,False
3,20000104,False,False,False,False,False,False,False,False,False,False
4,20000105,False,False,False,False,False,False,False,False,False,False
5,20000106,False,False,False,False,False,False,False,False,False,False
6,20000107,False,False,False,False,False,False,False,False,False,False
7,20000108,False,False,False,False,False,False,False,False,False,False
8,20000109,False,False,False,False,False,False,False,False,False,False
9,20000110,False,False,False,False,False,False,False,False,False,False
10,20000111,False,False,False,False,False,False,False,False,False,False
11,20000112,False,False,False,False,False,False,False,False,False,False
12,20000113,False,False,False,False,False,False,False,False,False,False
13,20000114,False,False,False,False,False,False,False,False,False,False
14,20000115,False,False,False,False,False,False,False,False,False,False
15,20000116,False,False,False,False,False,False,False,False,False,False
16,20000117,False,False,False,False,False,False,False,False,False,False
17,20000118,False,False,False,False,False,False,False,False,False,False
18,20000119,False,False,False,False,False,False,False,False,False,False
19,20000120,False,False,False,False,False,False,False,False,False,False
20,20000121,False,False,False,False,False,False,False,False,False,False
21,20000122,False,False,False,False,False,False,False,False,False,False
22,20000123,False,False,False,False,False,False,False,False,False,False
23,20000124,False,False,False,False,False,False,False,False,False,False
24,20000125,False,False,False,False,False,False,False,False,False,False
25,20000126,False,False,False,False,False,False,False,False,False,False
26,20000127,False,False,False,False,False,False,False,False,False,False
27,20000128,False,False,False,False,False,False,False,False,False,False
28,20000129,False,False,False,False,False,False,False,False,False,False
29,20000130,False,False,False,False,False,False,False,False,False,False
30,20000131,False,False,False,False,False,False,False,False,False,False
31,20000201,False,False,False,False,False,False,False,False,False,False
32,20000202,False,False,False,False,False,False,False,False,False,False
33,20000203,False,False,False,False,False,False,False,False,False,False
34,20000204,False,False,False,False,False,False,False,False,False,False
35,20000205,False,False,False,False,False,False,False,False,False,False
36,20000206,False,False,False,False,False,False,False,False,False,False
37,20000207,False,False,False,False,False,False,False,False,False,False
38,20000208,False,False,False,False,False,False,False,False,False,False
39,20000209,False,False,False,False,False,False,False,False,False,False
40,20000210,False,False,False,False,False,False,False,False,False,False
41,20000211,False,False,False,False,False,False,False,False,False,False
42,20000212,False,False,False,False,False,False,False,False,False,False
43,20000213,False,False,False,False,False,False,False,False,False,False
44,20000214,False,False,False,False,False,False,False,False,False,False
45,20000215,False,False,False,False,False,False,False,False,False,False
46,20000216,False,False,False,False,False,False,False,False,False,False
47,20000217,False,False,False,False,False,False,False,False,False,False
48,20000218,False,False,False,False,False,False,False,False,False,False
49,20000219,False,False,False,False,False,False,False,False,False,False
50,20000220,False,False,False,False,False,False,False,False,False,False
51,20000221,False,False,False,False,False,False,False,False,False,False
52,20000222,False,False,False,False,False,False,False,False,False,False
53,20000223,False,False,False,False,False,False,False,False,False,False
54,20000224,False,False,False,False,False,False,False,False,False,False
55,20000225,False,False,False,False,False,False,False,False,False,False
56,20000226,False,False,False,False,False,False,False,False,False,False
57,20000227,False,False,False,False,False,False,False,False,False,True
58,20000228,False,False,False,False,False,False,False,False,False,False
59,20000229,False,False,False,False,False,False,False,False,False,False
60,20000301,False,False,False,False,False,False,False,False,False,False
61,20000302,False,False,False,False,False,False,False,False,False,False
62,20000303,False,False,False,False,False,False,False,False,False,False
63,20000304,False,False,False,False,False,False,False,False,False,False
64,20000305,False,False,False,False,False,False,False,False,False,False
65,20000306,False,False,False,False,False,False,False,False,False,False
