,date,month,city,cloud_cover,wind_speed,wind_gust,humidity,pressure,global_radiation,precipitation,sunshine,temp_min,temp_max,temp_mean
0,2000-01-01,1,Basel,8.0,3.33,10.06,0.89,1.03,0.2,0.03,0.0,1.6,3.9,2.9
1,2000-01-02,1,Basel,8.0,3.33,10.06,0.87,1.03,0.25,0.0,0.0,2.7,4.8,3.6
2,2000-01-03,1,Basel,5.0,3.33,10.06,0.81,1.03,0.5,0.0,3.7,0.1,4.8,2.2
3,2000-01-04,1,Basel,7.0,3.33,10.06,0.79,1.03,0.63,0.35,6.9,0.5,7.5,3.9
4,2000-01-05,1,Basel,5.0,3.33,10.06,0.9,1.02,0.51,0.07,3.7,3.8,8.6,6.0
5,2000-01-06,1,Basel,3.0,3.33,10.06,0.85,1.02,0.56,0.0,5.7,1.9,6.9,4.2
6,2000-01-07,1,Basel,8.0,3.33,10.06,0.84,1.03,0.2,0.0,0.0,1.8,6.2,4.7
7,2000-01-08,1,Basel,4.0,3.33,10.06,0.79,1.02,0.54,0.0,4.3,4.1,8.4,5.6
8,2000-01-09,1,Basel,8.0,3.33,10.06,0.88,1.02,0.11,0.65,0.0,3.8,5.7,4.6
9,2000-01-10,1,Basel,8.0,3.33,10.06,0.91,1.03,0.06,0.09,0.0,1.4,3.8,2.4
10,2000-01-11,1,Basel,8.0,3.33,10.06,0.88,1.04,0.06,0.0,0.0,2.6,3.9,3.2
11,2000-01-12,1,Basel,8.0,3.33,10.06,0.77,1.03,0.1,0.0,0.0,0.8,3.0,2.4
12,2000-01-13,1,Basel,1.0,3.33,10.06,0.78,1.02,0.66,0.0,7.5,-0.2,5.0,1.7
13,2000-01-14,1,Basel,0.0,3.33,10.06,0.8,1.02,0.69,0.0,7.6,-1.0,3.8,0.6
14,2000-01-15,1,Basel,6.0,3.33,10.06,0.85,1.03,0.51,0.0,2.8,-2.9,1.5,-1.3
15,2000-01-16,1,Basel,7.0,3.33,10.06,0.8,1.03,0.23,0.0,0.3,-2.1,1.8,-0.4
16,2000-01-17,1,Basel,8.0,3.33,10.06,0.79,1.03,0.33,0.0,0.1,-3.2,4.2,0.9
17,2000-01-18,1,Basel,7.0,3.33,10.06,0.83,1.03,0.18,0.03,0.0,3.8,5.3,4.5
18,2000-01-19,1,Basel,7.0,3.33,10.06,0.69,1.03,0.38,0.0,0.7,-0.7,3.9,2.4
19,2000-01-20,1,Basel,5.0,3.33,10.06,0.72,1.03,0.53,0.0,3.2,-2.7,2.9,0.4
20,2000-01-21,1,Basel,8.0,3.33,10.06,0.74,1.03,0.18,0.0,0.0,1.6,3.5,2.5
21,2000-01-22,1,Basel,8.0,3.33,10.06,0.8,1.02,0.09,0.12,0.0,1.9,3.9,3.1
22,2000-01-23,1,Basel,8.0,3.33,10.06,0.86,1.02,0.33,0.42,0.0,-0.1,3.5,2.0
23,2000-01-24,1,Basel,7.0,3.33,10.06,0.78,1.02,0.29,0.02,0.0,-7.6,-0.2,-4.0
24,2000-01-25,1,Basel,2.0,3.33,10.06,0.61,1.03,0.87,0.0,8.1,-8.5,-3.7,-6.5
25,2000-01-26,1,Basel,0.0,3.33,10.06,0.71,1.04,0.84,0.0,8.1,-10.6,-3.2,-6.8
26,2000-01-27,1,Basel,1.0,3.33,10.06,0.76,1.03,0.89,0.0,8.4,-8.7,-0.7,-5.2
27,2000-01-28,1,Basel,5.0,3.33,10.06,0.78,1.03,0.53,0.0,2.2,-6.2,4.8,-1.7
28,2000-01-29,1,Basel,8.0,3.33,10.06,0.65,1.02,0.11,0.13,0.0,3.7,9.5,7.4
29,2000-01-30,1,Basel,8.0,3.33,10.06,0.74,1.02,0.1,0.02,0.0,9.0,10.7,10.0
30,2000-01-31,1,Basel,5.0,3.33,10.06,0.74,1.03,0.42,0.0,1.6,3.5,10.6,8.1
31,2000-02-01,2,Basel,3.0,3.33,10.06,0.84,1.02,0.88,0.0,5.8,1.1,11.2,5.4
32,2000-02-02,2,Basel,8.0,3.33,10.06,0.89,1.02,0.13,0.99,0.0,2.8,8.5,5.5
33,2000-02-03,2,Basel,5.0,3.33,10.06,0.74,1.04,0.55,0.0,2.9,1.8,8.4,5.2
34,2000-02-04,2,Basel,1.0,3.33,10.06,0.78,1.04,0.96,0.0,8.3,-0.9,8.3,3.3
35,2000-02-05,2,Basel,3.0,3.33,10.06,0.65,1.03,0.94,0.0,8.1,1.9,13.7,6.9
36,2000-02-06,2,Basel,4.0,3.33,10.06,0.7,1.03,0.69,0.0,3.0,2.6,11.9,6.0
37,2000-02-07,2,Basel,8.0,3.33,10.06,0.67,1.02,0.33,0.01,0.3,3.3,11.3,7.6
38,2000-02-08,2,Basel,8.0,3.33,10.06,0.72,1.02,0.35,0.44,0.1,8.7,14.1,11.4
39,2000-02-09,2,Basel,6.0,3.33,10.06,0.72,1.03,0.55,0.09,1.9,3.9,9.4,5.6
40,2000-02-10,2,Basel,3.0,3.33,10.06,0.67,1.03,1.11,1.27,8.0,1.9,11.1,6.2
41,2000-02-11,2,Basel,8.0,3.33,10.06,0.84,1.03,0.13,0.02,0.0,3.0,7.0,4.2
42,2000-02-12,2,Basel,7.0,3.33,10.06,0.71,1.03,0.26,0.13,0.4,1.5,4.3,2.8
43,2000-02-13,2,Basel,7.0,3.33,10.06,0.77,1.02,0.15,0.04,0.0,2.8,7.6,5.6
44,2000-02-14,2,Basel,7.0,3.33,10.06,0.82,1.03,0.51,0.15,0.7,4.6,9.7,7.0
45,2000-02-15,2,Basel,7.0,3.33,10.06,0.8,1.02,0.49,1.22,1.2,6.7,10.9,8.3
46,2000-02-16,2,Basel,6.0,3.33,10.06,0.79,1.01,0.62,0.48,1.5,0.9,9.7,4.4
47,2000-02-17,2,Basel,6.0,3.33,10.06,0.78,1.01,0.44,0.02,0.9,0.6,3.9,2.1
48,2000-02-18,2,Basel,8.0,3.33,10.06,0.8,1.01,0.25,0.39,0.1,0.6,9.5,4.2
49,2000-02-19,2,Basel,7.0,3.33,10.06,0.77,1.01,0.5,0.25,0.4,3.6,8.3,6.0
50,2000-02-20,2,Basel,7.0,3.33,10.06,0.85,1.03,0.28,0.14,0.0,-0.7,4.0,1.9
51,2000-02-21,2,Basel,4.0,3.33,10.06,0.72,1.03,1.27,0.0,8.5,-2.2,5.6,1.3
52,2000-02-22,2,Basel,3.0,3.33,10.06,0.68,1.03,1.35,0.0,9.6,-1.1,7.4,2.1
53,2000-02-23,2,Basel,8.0,3.33,10.06,0.67,1.03,0.88,0.0,1.8,-1.3,7.1,2.7
54,2000-02-24,2,Basel,8.0,3.33,10.06,0.76,1.03,0.37,0.0,0.0,-0.2,6.1,3.5
55,2000-02-25,2,Basel,8.0,3.33,10.06,0.76,1.03,0.32,0.45,0.0,5.8,11.5,9.5
56,2000-02-26,2,Basel,8.0,3.33,10.06,0.85,1.03,0.56,0.04,0.0,5.2,9.9,7.4
57,2000-02-27,2,Basel,2.0,3.33,10.06,0.76,1.03,1.43,0.0,9.0,4.5,14.5,9.0
58,2000-02-28,2,Basel,5.0,3.33,10.06,0.61,1.02,1.39,0.42,8.5,4.2,19.5,11.0
59,2000-02-29,2,Basel,8.0,3.33,10.06,0.8,1.02,0.25,0.9,0.0,6.3,10.2,8.1
60,2000-03-01,3,Basel,8.0,3.33,10.06,0.81,1.01,0.35,0.36,0.0,3.5,9.7,5.8
61,2000-03-02,3,Basel,7.0,3.33,10.06,0.64,1.03,1.04,0.0,3.8,2.4,7.2,4.4
62,2000-03-03,3,Basel,8.0,3.33,10.06,0.59,1.02,0.46,0.53,0.1,4.3,9.5,7.5
63,2000-03-04,3,Basel,5.0,3.33,10.06,0.61,1.02,1.28,0.0,7.1,0.2,8.5,5.1
64,2000-03-05,3,Basel,1.0,3.33,10.06,0.54,1.04,1.68,0.0,10.6,-2.2,6.4,1.7
