,date,month,city,cloud_cover,wind_speed,wind_gust,humidity,pressure,global_radiation,precipitation,sunshine,temp_min,temp_max,temp_mean
3654,2000-01-01,1,Budapest,3.0,3.33,10.06,0.92,1.03,0.52,0.0,3.7,6.33,-0.7,-4.9
3655,2000-01-02,1,Budapest,8.0,3.33,10.06,0.94,1.03,0.14,0.0,0.4,6.33,-1.9,-3.6
3656,2000-01-03,1,Budapest,6.0,3.33,10.06,0.95,1.03,0.19,0.0,0.0,6.33,1.1,-0.8
3657,2000-01-04,1,Budapest,8.0,3.33,10.06,0.94,1.03,0.21,0.0,0.0,6.33,0.1,-1.0
3658,2000-01-05,1,Budapest,5.0,3.33,10.06,0.88,1.02,0.43,0.0,0.8,6.33,3.9,0.2
3659,2000-01-06,1,Budapest,5.0,3.33,10.06,0.89,1.03,0.74,0.0,4.5,6.33,2.3,-0.9
3660,2000-01-07,1,Budapest,8.0,3.33,10.06,1.0,1.03,0.18,0.0,0.0,6.33,-2.1,-2.8
3661,2000-01-08,1,Budapest,8.0,3.33,10.06,0.97,1.03,0.23,0.0,0.0,6.33,-0.1,-1.2
3662,2000-01-09,1,Budapest,8.0,3.33,10.06,0.95,1.03,0.14,0.0,0.0,6.33,-0.7,-1.4
3663,2000-01-10,1,Budapest,6.0,3.33,10.06,0.89,1.03,0.27,0.0,0.9,6.33,3.0,0.0
3664,2000-01-11,1,Budapest,7.0,3.33,10.06,0.86,1.04,0.43,0.0,0.4,6.33,3.1,1.3
3665,2000-01-12,1,Budapest,6.0,3.33,10.06,0.78,1.04,0.22,0.0,4.3,6.33,3.8,0.3
3666,2000-01-13,1,Budapest,8.0,3.33,10.06,0.95,1.03,0.39,0.08,0.0,6.33,-2.4,-3.8
3667,2000-01-14,1,Budapest,8.0,3.33,10.06,0.89,1.03,0.3,0.0,0.0,6.33,-0.9,-1.7
3668,2000-01-15,1,Budapest,7.0,3.33,10.06,0.89,1.03,0.47,0.0,0.0,6.33,0.9,-0.7
3669,2000-01-16,1,Budapest,5.0,3.33,10.06,0.78,1.03,0.54,0.0,2.5,6.33,1.1,-1.0
3670,2000-01-17,1,Budapest,6.0,3.33,10.06,0.79,1.01,0.21,0.15,1.0,6.33,4.7,1.6
3671,2000-01-18,1,Budapest,6.0,3.33,10.06,0.85,1.0,0.41,0.26,0.5,6.33,5.7,2.1
3672,2000-01-19,1,Budapest,4.0,3.33,10.06,0.75,1.01,0.6,0.0,7.0,6.33,2.0,0.6
3673,2000-01-20,1,Budapest,5.0,3.33,10.06,0.79,1.02,0.63,0.75,3.7,6.33,1.6,-0.4
3674,2000-01-21,1,Budapest,6.0,3.33,10.06,0.73,1.01,0.37,0.05,1.6,6.33,4.3,0.9
3675,2000-01-22,1,Budapest,6.0,3.33,10.06,0.63,1.02,0.56,0.0,1.4,6.33,-1.2,-4.0
3676,2000-01-23,1,Budapest,7.0,3.33,10.06,0.67,1.01,0.34,0.0,0.1,6.33,-2.6,-3.5
3677,2000-01-24,1,Budapest,2.0,3.33,10.06,0.44,1.02,0.94,0.0,7.8,6.33,-2.2,-4.4
3678,2000-01-25,1,Budapest,0.0,3.33,10.06,0.67,1.03,0.88,0.0,8.1,6.33,-1.9,-6.5
3679,2000-01-26,1,Budapest,7.0,3.33,10.06,0.61,1.03,0.49,0.0,0.7,6.33,-3.0,-4.3
3680,2000-01-27,1,Budapest,7.0,3.33,10.06,0.71,1.03,0.35,0.0,0.2,6.33,2.7,1.2
3681,2000-01-28,1,Budapest,2.0,3.33,10.06,0.55,1.02,0.95,0.0,6.4,6.33,4.1,0.7
3682,2000-01-29,1,Budapest,7.0,3.33,10.06,0.73,1.02,0.67,0.83,2.9,6.33,5.5,2.3
3683,2000-01-30,1,Budapest,6.0,3.33,10.06,0.7,1.01,0.56,0.6,3.9,6.33,8.4,6.3
3684,2000-01-31,1,Budapest,6.0,3.33,10.06,0.74,1.02,0.47,0.01,2.5,6.33,12.7,8.3
3685,2000-02-01,2,Budapest,2.0,3.33,10.06,0.74,1.02,0.88,0.0,5.8,6.33,14.0,9.6
3686,2000-02-02,2,Budapest,5.0,3.33,10.06,0.81,1.02,0.76,0.0,3.4,6.33,12.2,7.2
3687,2000-02-03,2,Budapest,3.0,3.33,10.06,0.66,1.02,0.63,0.01,5.9,6.33,10.6,7.1
3688,2000-02-04,2,Budapest,1.0,3.33,10.06,0.58,1.03,1.09,0.0,8.8,6.33,6.2,4.1
3689,2000-02-05,2,Budapest,5.0,3.33,10.06,0.76,1.03,0.69,0.0,3.5,6.33,9.4,7.1
3690,2000-02-06,2,Budapest,3.0,3.33,10.06,0.78,1.03,0.92,0.0,5.6,6.33,14.6,9.2
3691,2000-02-07,2,Budapest,8.0,3.33,10.06,0.98,1.02,0.42,0.0,0.6,6.33,7.1,3.1
3692,2000-02-08,2,Budapest,7.0,3.33,10.06,0.8,1.02,0.76,0.38,1.9,6.33,12.3,7.8
3693,2000-02-09,2,Budapest,7.0,3.33,10.06,0.72,1.01,0.44,0.05,0.2,6.33,10.5,7.6
3694,2000-02-10,2,Budapest,1.0,3.33,10.06,0.65,1.02,1.07,0.0,8.3,6.33,9.1,5.5
3695,2000-02-11,2,Budapest,5.0,3.33,10.06,0.8,1.03,0.76,0.0,3.2,6.33,7.6,3.5
3696,2000-02-12,2,Budapest,8.0,3.33,10.06,0.76,1.03,0.47,0.0,1.3,6.33,7.3,5.3
3697,2000-02-13,2,Budapest,5.0,3.33,10.06,0.65,1.02,0.76,0.03,5.3,6.33,9.5,6.5
3698,2000-02-14,2,Budapest,3.0,3.33,10.06,0.71,1.02,0.85,0.13,6.6,6.33,8.1,3.8
3699,2000-02-15,2,Budapest,5.0,3.33,10.06,0.77,1.02,0.87,0.08,3.0,6.33,4.3,1.9
3700,2000-02-16,2,Budapest,8.0,3.33,10.06,0.85,1.01,0.35,0.99,0.2,6.33,5.8,3.3
3701,2000-02-17,2,Budapest,6.0,3.33,10.06,0.77,1.0,0.54,0.0,3.2,6.33,5.1,3.0
3702,2000-02-18,2,Budapest,1.0,3.33,10.06,0.71,1.01,1.3,0.0,8.9,6.33,5.1,2.0
3703,2000-02-19,2,Budapest,7.0,3.33,10.06,0.8,1.01,0.65,0.02,1.8,6.33,4.9,2.0
3704,2000-02-20,2,Budapest,7.0,3.33,10.06,0.87,1.01,0.38,0.0,1.0,6.33,5.7,3.0
