,date,month,city,cloud_cover,wind_speed,wind_gust,humidity,pressure,global_radiation,precipitation,sunshine,temp_min,temp_max,temp_mean
10958,2000-01-01,1,Dresden,8.0,3.2,7.2,0.89,1.02,0.09,0.32,0.0,-1.8,2.0,1.0
10959,2000-01-02,1,Dresden,7.0,4.0,8.8,0.89,1.02,0.23,0.0,0.4,1.4,4.0,2.5
10960,2000-01-03,1,Dresden,7.0,5.4,12.1,0.79,1.02,0.18,0.0,0.0,1.3,5.1,4.2
10961,2000-01-04,1,Dresden,8.0,6.0,14.4,0.88,1.02,0.11,0.22,0.0,3.4,5.2,4.4
10962,2000-01-05,1,Dresden,2.0,5.6,15.8,0.76,1.02,0.49,0.0,5.7,-0.5,6.9,1.8
10963,2000-01-06,1,Dresden,1.0,5.2,9.0,0.81,1.02,0.55,0.03,7.3,-2.7,6.3,1.5
10964,2000-01-07,1,Dresden,5.0,3.4,6.7,0.93,1.02,0.29,0.02,1.0,-0.1,5.4,2.0
10965,2000-01-08,1,Dresden,4.0,4.5,8.4,0.79,1.02,0.22,0.0,2.3,-0.3,5.3,3.6
10966,2000-01-09,1,Dresden,8.0,2.7,5.9,0.95,1.02,0.09,0.15,0.0,1.3,4.0,1.9
10967,2000-01-10,1,Dresden,8.0,1.8,4.9,0.92,1.02,0.29,0.0,0.7,-1.0,3.7,0.6
10968,2000-01-11,1,Dresden,3.0,2.6,6.3,0.84,1.02,0.48,0.0,5.6,-2.4,3.0,-0.7
10969,2000-01-12,1,Dresden,0.0,5.0,12.5,0.77,1.02,0.6,0.0,7.6,-4.8,0.9,-2.5
10970,2000-01-13,1,Dresden,0.0,7.8,14.5,0.76,1.02,0.57,0.0,7.1,-5.2,-2.1,-4.4
10971,2000-01-14,1,Dresden,8.0,4.2,9.1,0.78,1.02,0.37,0.0,1.8,-5.9,0.0,-1.7
10972,2000-01-15,1,Dresden,8.0,2.7,7.2,0.92,1.02,0.14,0.0,0.0,-2.2,-0.8,-1.4
10973,2000-01-16,1,Dresden,8.0,4.5,12.0,0.92,1.02,0.16,0.34,0.0,-4.8,1.3,-0.2
10974,2000-01-17,1,Dresden,8.0,9.2,18.1,0.95,1.02,0.08,0.86,0.0,1.2,5.6,4.8
10975,2000-01-18,1,Dresden,5.0,8.2,18.0,0.8,1.02,0.28,0.7,1.1,0.1,5.9,2.2
10976,2000-01-19,1,Dresden,4.0,6.0,12.4,0.8,1.02,0.41,0.0,1.6,-1.9,0.9,-1.0
10977,2000-01-20,1,Dresden,8.0,8.9,19.7,0.9,1.02,0.09,0.62,0.0,-2.8,2.0,1.1
10978,2000-01-21,1,Dresden,6.0,7.6,27.8,0.8,1.02,0.3,0.03,0.7,-4.3,2.6,-1.8
10979,2000-01-22,1,Dresden,8.0,3.3,7.3,0.92,1.02,0.26,0.23,0.0,-4.1,-0.2,-2.2
10980,2000-01-23,1,Dresden,3.0,3.4,7.9,0.82,1.02,0.61,0.0,5.0,-10.9,-2.0,-8.2
10981,2000-01-24,1,Dresden,5.0,3.0,7.5,0.89,1.02,0.48,0.04,2.7,-13.3,-5.7,-8.2
10982,2000-01-25,1,Dresden,3.0,3.2,7.6,0.73,1.02,0.87,0.0,8.3,-11.8,-5.1,-6.9
10983,2000-01-26,1,Dresden,8.0,7.2,12.1,0.87,1.02,0.32,0.02,0.0,-7.1,0.0,-1.0
10984,2000-01-27,1,Dresden,8.0,7.6,13.5,0.83,1.02,0.18,0.0,0.0,0.0,1.3,0.7
10985,2000-01-28,1,Dresden,8.0,8.3,14.0,0.61,1.02,0.38,0.0,0.8,-0.7,2.3,1.2
10986,2000-01-29,1,Dresden,8.0,10.9,22.2,0.77,1.02,0.12,1.27,0.0,1.4,7.4,5.8
10987,2000-01-30,1,Dresden,6.0,8.4,20.7,0.68,1.02,0.58,0.29,3.8,3.1,7.4,4.7
10988,2000-01-31,1,Dresden,5.0,9.9,28.2,0.81,1.02,0.17,0.58,0.2,3.4,9.5,7.4
10989,2000-02-01,2,Dresden,6.0,5.7,11.8,0.78,1.02,0.27,0.01,0.9,5.0,8.7,6.9
10990,2000-02-02,2,Dresden,7.0,6.7,13.1,0.81,1.02,0.14,0.28,0.0,4.8,8.2,6.0
10991,2000-02-03,2,Dresden,6.0,8.1,18.1,0.85,1.02,0.42,0.04,2.2,1.7,5.5,3.0
10992,2000-02-04,2,Dresden,7.0,7.1,16.4,0.79,1.02,0.54,0.21,1.4,0.9,6.9,5.2
10993,2000-02-05,2,Dresden,5.0,6.7,14.9,0.83,1.02,0.43,0.0,1.2,5.6,11.6,8.9
10994,2000-02-06,2,Dresden,5.0,3.8,9.6,0.68,1.02,0.53,0.0,1.6,6.5,15.0,10.0
10995,2000-02-07,2,Dresden,7.0,6.6,16.5,0.71,1.02,0.23,0.05,0.0,5.5,10.4,7.8
10996,2000-02-08,2,Dresden,7.0,9.3,20.9,0.71,1.02,0.32,0.5,0.0,5.9,11.3,10.1
10997,2000-02-09,2,Dresden,8.0,10.2,22.7,0.79,1.02,0.46,0.16,1.4,1.6,11.4,4.0
10998,2000-02-10,2,Dresden,7.0,6.5,14.0,0.64,1.02,0.58,0.27,3.7,4.2,8.2,5.9
10999,2000-02-11,2,Dresden,5.0,4.6,13.9,0.85,1.02,0.31,0.0,0.1,1.0,7.6,2.7
11000,2000-02-12,2,Dresden,4.0,4.7,13.0,0.69,1.02,1.0,0.02,7.2,-2.3,6.1,2.2
11001,2000-02-13,2,Dresden,7.0,6.0,15.9,0.89,1.02,0.29,0.46,0.8,0.8,5.9,2.4
11002,2000-02-14,2,Dresden,7.0,5.8,15.4,0.77,1.02,0.42,0.15,0.4,-0.7,3.9,1.1
11003,2000-02-15,2,Dresden,8.0,5.0,15.5,0.91,1.02,0.31,0.39,0.3,-1.0,8.0,4.9
11004,2000-02-16,2,Dresden,5.0,5.1,18.2,0.83,1.02,0.46,0.11,2.0,-0.2,6.8,1.8
11005,2000-02-17,2,Dresden,6.0,4.5,10.2,0.81,1.02,0.59,0.15,2.0,-1.2,3.1,0.5
11006,2000-02-18,2,Dresden,7.0,4.3,11.2,0.76,1.02,0.77,0.07,2.6,-3.7,4.4,1.1
11007,2000-02-19,2,Dresden,8.0,2.8,7.4,0.94,1.02,0.26,0.66,0.0,0.3,4.3,2.9
11008,2000-02-20,2,Dresden,7.0,3.3,6.4,0.97,1.02,0.24,0.16,0.0,-1.2,3.3,-0.4
11009,2000-02-21,2,Dresden,5.0,2.9,7.6,0.87,1.02,0.8,0.0,2.5,-3.5,0.7,-2.1
11010,2000-02-22,2,Dresden,7.0,4.0,9.2,0.9,1.02,0.32,0.31,0.1,-5.7,0.7,-0.8
11011,2000-02-23,2,Dresden,7.0,2.1,5.0,0.92,1.02,0.55,0.0,0.3,-0.1,4.1,1.2
11012,2000-02-24,2,Dresden,8.0,5.6,13.5,0.9,1.02,0.43,0.96,0.5,-1.2,6.4,4.0
11013,2000-02-25,2,Dresden,5.0,4.6,10.8,0.94,1.02,0.2,0.76,0.0,0.1,5.9,1.2
11014,2000-02-26,2,Dresden,7.0,4.3,9.0,0.83,1.02,0.48,0.0,0.1,1.2,5.4,3.2
11015,2000-02-27,2,Dresden,2.0,5.0,11.5,0.65,1.02,1.41,0.0,9.7,-1.0,9.5,5.2
11016,2000-02-28,2,Dresden,7.0,7.8,13.5,0.52,1.02,1.14,0.24,7.0,4.2,13.0,10.1
11017,2000-02-29,2,Dresden,7.0,5.2,14.6,0.76,1.02,0.69,0.07,1.6,4.2,12.1,7.0
11018,2000-03-01,3,Dresden,7.0,5.9,16.3,0.78,1.02,0.59,0.18,1.4,3.8,8.7,5.7
11019,2000-03-02,3,Dresden,7.0,6.5,15.2,0.8,1.02,0.9,0.44,3.0,1.8,5.6,2.2
11020,2000-03-03,3,Dresden,8.0,9.7,26.2,0.77,1.02,0.28,0.09,0.1,1.2,9.0,5.2
11021,2000-03-04,3,Dresden,7.0,7.1,17.1,0.82,1.02,0.59,0.07,0.9,-0.8,4.0,0.6
11022,2000-03-05,3,Dresden,6.0,7.6,16.1,0.87,1.02,0.8,0.02,1.6,-2.1,1.1,-0.4
11023,2000-03-06,3,Dresden,7.0,6.7,14.3,0.67,1.02,1.4,0.0,7.0,-0.4,8.1,5.1
11024,2000-03-07,3,Dresden,7.0,9.3,17.9,0.75,1.02,0.7,0.26,0.8,5.0,10.6,7.7
11025,2000-03-08,3,Dresden,8.0,10.1,18.2,0.9,1.02,0.25,0.84,0.0,7.3,10.3,9.2
11026,2000-03-09,3,Dresden,8.0,10.9,24.3,0.88,1.02,0.43,1.41,0.6,5.9,12.3,8.4
11027,2000-03-10,3,Dresden,7.0,4.9,14.8,0.76,1.02,0.83,0.53,2.8,1.1,5.9,2.4
11028,2000-03-11,3,Dresden,7.0,8.6,20.8,0.9,1.02,0.58,0.32,1.0,1.8,9.6,6.4
11029,2000-03-12,3,Dresden,8.0,3.0,15.0,0.8,1.02,0.29,0.04,0.0,1.3,5.9,2.2
11030,2000-03-13,3,Dresden,7.0,3.1,6.6,0.86,1.02,0.77,0.15,1.0,1.7,7.3,4.6
11031,2000-03-14,3,Dresden,8.0,6.9,16.1,0.9,1.02,0.51,1.11,0.0,3.6,10.2,5.9
11032,2000-03-15,3,Dresden,7.0,7.9,19.6,0.86,1.02,0.96,0.84,3.2,-0.3,4.2,0.6
11033,2000-03-16,3,Dresden,8.0,5.2,17.8,0.9,1.02,0.65,1.1,1.0,0.0,4.3,2.1
11034,2000-03-17,3,Dresden,7.0,4.3,12.8,0.78,1.02,0.7,0.01,1.6,-0.1,3.8,1.9
11035,2000-03-18,3,Dresden,4.0,2.2,5.1,0.73,1.02,1.61,0.0,8.1,-2.2,5.5,1.6
11036,2000-03-19,3,Dresden,5.0,3.9,10.7,0.72,1.02,0.76,0.0,1.1,-1.2,6.2,2.4
11037,2000-03-20,3,Dresden,7.0,3.6,8.5,0.85,1.02,0.83,0.0,0.7,-1.3,7.4,3.6
11038,2000-03-21,3,Dresden,6.0,3.8,7.8,0.95,1.02,0.31,0.0,0.0,2.7,5.0,3.4
