,date,month,city,cloud_cover,wind_speed,wind_gust,humidity,pressure,global_radiation,precipitation,sunshine,temp_min,temp_max,temp_mean
14612,2000-01-01,1,Dusseldorf,8.0,2.5,5.9,0.92,1.02,0.12,0.22,0.0,2.5,6.9,4.2
14613,2000-01-02,1,Dusseldorf,6.0,3.0,7.4,0.87,1.03,0.19,0.0,0.7,2.7,7.9,6.5
14614,2000-01-03,1,Dusseldorf,7.0,5.5,14.3,0.78,1.02,0.12,0.28,0.0,6.9,9.1,7.7
14615,2000-01-04,1,Dusseldorf,7.0,6.0,16.8,0.87,1.02,0.12,0.97,0.0,6.6,9.2,7.8
14616,2000-01-05,1,Dusseldorf,4.0,4.5,11.2,0.8,1.02,0.51,0.0,6.5,0.4,8.6,5.2
14617,2000-01-06,1,Dusseldorf,6.0,5.5,12.3,0.83,1.02,0.34,0.18,2.8,4.3,10.4,7.6
14618,2000-01-07,1,Dusseldorf,6.0,4.5,9.4,0.79,1.02,0.32,0.0,2.5,4.7,8.7,6.6
14619,2000-01-08,1,Dusseldorf,8.0,4.7,9.5,0.85,1.02,0.12,0.12,0.0,5.4,7.9,6.6
14620,2000-01-09,1,Dusseldorf,6.0,1.2,5.2,0.94,1.03,0.12,0.0,0.0,0.5,6.8,2.5
14621,2000-01-10,1,Dusseldorf,8.0,1.3,4.3,0.96,1.04,0.13,0.0,0.0,0.4,2.4,1.1
14622,2000-01-11,1,Dusseldorf,3.0,4.4,9.3,0.86,1.04,0.49,0.0,5.4,-0.5,2.9,0.7
14623,2000-01-12,1,Dusseldorf,4.0,5.5,10.7,0.79,1.03,0.52,0.0,6.0,-0.9,4.6,2.1
14624,2000-01-13,1,Dusseldorf,6.0,4.3,9.1,0.73,1.02,0.13,0.02,0.0,-0.7,3.5,1.3
14625,2000-01-14,1,Dusseldorf,8.0,2.2,5.4,0.85,1.02,0.13,0.0,0.0,-1.0,4.8,3.3
14626,2000-01-15,1,Dusseldorf,7.0,2.5,10.1,0.77,1.03,0.21,0.0,0.6,1.1,4.2,2.5
14627,2000-01-16,1,Dusseldorf,8.0,2.6,8.4,0.93,1.04,0.14,0.23,0.0,0.7,5.7,4.2
14628,2000-01-17,1,Dusseldorf,8.0,5.0,10.3,0.9,1.03,0.14,0.13,0.0,5.1,7.0,6.2
14629,2000-01-18,1,Dusseldorf,6.0,7.0,16.2,0.78,1.02,0.18,0.1,0.2,4.9,8.1,5.9
14630,2000-01-19,1,Dusseldorf,7.0,4.3,8.8,0.79,1.03,0.14,0.02,0.0,3.7,5.1,4.1
14631,2000-01-20,1,Dusseldorf,7.0,4.6,12.1,0.87,1.03,0.17,0.08,0.1,1.6,5.0,4.0
14632,2000-01-21,1,Dusseldorf,7.0,5.6,13.7,0.79,1.02,0.23,0.08,0.6,3.5,7.2,4.6
14633,2000-01-22,1,Dusseldorf,7.0,5.3,12.5,0.86,1.01,0.19,0.52,0.2,2.6,5.4,4.1
14634,2000-01-23,1,Dusseldorf,6.0,4.0,9.7,0.83,1.02,0.15,0.08,0.0,-3.4,4.0,-0.8
14635,2000-01-24,1,Dusseldorf,3.0,2.0,6.2,0.66,1.03,0.71,0.0,8.1,-7.3,1.0,-2.6
14636,2000-01-25,1,Dusseldorf,5.0,2.6,5.2,0.66,1.03,0.6,0.0,5.7,-3.9,2.1,-1.1
14637,2000-01-26,1,Dusseldorf,7.0,3.5,6.4,0.72,1.03,0.16,0.0,0.0,-2.5,2.8,1.4
14638,2000-01-27,1,Dusseldorf,3.0,4.8,9.4,0.69,1.03,0.61,0.0,5.6,-2.7,4.5,0.2
14639,2000-01-28,1,Dusseldorf,6.0,6.8,14.2,0.69,1.02,0.19,0.36,0.1,-3.0,4.2,2.5
14640,2000-01-29,1,Dusseldorf,8.0,10.6,19.6,0.89,1.0,0.17,1.64,0.0,4.0,10.3,8.3
14641,2000-01-30,1,Dusseldorf,7.0,6.9,21.4,0.81,1.01,0.17,0.25,0.0,6.5,10.6,9.4
14642,2000-01-31,1,Dusseldorf,8.0,8.4,20.8,0.81,1.02,0.17,0.05,0.0,9.1,11.0,9.9
14643,2000-02-01,2,Dusseldorf,7.0,6.3,12.3,0.75,1.02,0.18,0.03,0.0,7.3,10.0,8.8
14644,2000-02-02,2,Dusseldorf,5.0,5.1,10.7,0.84,1.02,0.41,0.14,2.0,4.5,9.1,6.4
14645,2000-02-03,2,Dusseldorf,6.0,4.4,9.4,0.81,1.03,0.26,0.0,0.4,4.2,7.8,6.2
14646,2000-02-04,2,Dusseldorf,8.0,6.3,12.4,0.82,1.03,0.19,0.31,0.0,4.9,8.8,7.2
14647,2000-02-05,2,Dusseldorf,1.0,4.7,8.8,0.62,1.03,0.78,0.0,7.1,5.3,13.3,9.2
14648,2000-02-06,2,Dusseldorf,7.0,5.2,10.6,0.67,1.02,0.46,0.27,2.3,6.3,11.0,9.2
14649,2000-02-07,2,Dusseldorf,8.0,7.9,16.0,0.78,1.01,0.41,0.1,1.7,6.8,10.3,8.1
14650,2000-02-08,2,Dusseldorf,7.0,8.1,22.4,0.78,1.01,0.2,1.03,0.0,7.6,12.2,9.6
14651,2000-02-09,2,Dusseldorf,4.0,7.1,18.2,0.72,1.02,0.2,0.01,0.0,2.1,9.5,5.4
14652,2000-02-10,2,Dusseldorf,7.0,6.6,14.9,0.72,1.02,0.54,1.0,2.9,2.1,9.8,6.0
14653,2000-02-11,2,Dusseldorf,1.0,3.5,7.8,0.77,1.03,0.94,0.0,8.5,-1.4,8.0,3.0
14654,2000-02-12,2,Dusseldorf,4.0,6.5,18.0,0.77,1.02,0.69,0.25,4.6,-0.3,8.9,3.6
14655,2000-02-13,2,Dusseldorf,4.0,5.4,11.7,0.74,1.02,0.73,0.0,4.9,2.8,9.2,4.9
14656,2000-02-14,2,Dusseldorf,4.0,4.0,9.7,0.79,1.02,0.82,0.53,6.0,-1.4,8.4,4.8
14657,2000-02-15,2,Dusseldorf,7.0,3.9,9.7,0.83,1.01,0.26,0.53,0.1,4.8,8.5,6.9
14658,2000-02-16,2,Dusseldorf,6.0,6.7,18.3,0.83,1.0,0.69,0.3,4.0,-0.4,5.9,2.2
14659,2000-02-17,2,Dusseldorf,4.0,5.0,14.0,0.88,1.01,0.39,0.91,0.9,0.3,5.0,1.7
14660,2000-02-18,2,Dusseldorf,8.0,5.2,13.8,0.93,1.0,0.24,0.87,0.0,0.3,6.7,3.7
14661,2000-02-19,2,Dusseldorf,8.0,5.8,14.5,0.82,1.01,0.32,0.25,0.3,3.3,7.2,4.6
14662,2000-02-20,2,Dusseldorf,3.0,3.5,13.1,0.78,1.03,0.61,0.0,2.7,-0.4,7.0,1.7
14663,2000-02-21,2,Dusseldorf,7.0,2.8,6.5,0.82,1.03,0.46,0.0,1.2,-4.1,5.2,3.0
14664,2000-02-22,2,Dusseldorf,5.0,2.3,6.7,0.83,1.03,0.38,0.0,0.6,1.0,7.1,2.8
14665,2000-02-23,2,Dusseldorf,4.0,3.2,7.0,0.75,1.02,0.87,0.53,5.3,1.0,9.9,6.6
14666,2000-02-24,2,Dusseldorf,8.0,4.6,10.3,0.89,1.02,0.26,2.02,0.0,5.4,10.0,6.3
14667,2000-02-25,2,Dusseldorf,4.0,4.1,16.1,0.78,1.02,0.79,0.07,4.1,1.8,11.6,3.8
14668,2000-02-26,2,Dusseldorf,3.0,2.5,5.7,0.74,1.03,1.15,0.0,8.3,-1.0,8.6,2.4
