,date,month,city,cloud_cover,wind_speed,wind_gust,humidity,pressure,global_radiation,precipitation,sunshine,temp_min,temp_max,temp_mean
18265,2000-01-01,1,Heathrow,7.0,3.33,10.06,0.94,1.02,0.18,0.0,0.4,4.9,10.8,7.0
18266,2000-01-02,1,Heathrow,7.0,3.33,10.06,0.89,1.03,0.2,0.02,0.7,5.0,11.5,7.9
18267,2000-01-03,1,Heathrow,8.0,3.33,10.06,0.91,1.02,0.13,0.6,0.0,7.2,9.5,9.4
18268,2000-01-04,1,Heathrow,5.0,3.33,10.06,0.89,1.01,0.34,0.02,2.9,4.4,11.0,7.0
18269,2000-01-05,1,Heathrow,5.0,3.33,10.06,0.85,1.01,0.25,0.08,1.3,1.9,10.8,6.4
18270,2000-01-06,1,Heathrow,6.0,3.33,10.06,0.84,1.01,0.2,0.0,0.6,7.0,11.0,8.9
18271,2000-01-07,1,Heathrow,6.0,3.33,10.06,0.82,1.02,0.31,0.2,2.2,3.4,9.2,7.2
18272,2000-01-08,1,Heathrow,4.0,3.33,10.06,0.81,1.02,0.52,0.0,6.4,5.7,7.2,7.4
18273,2000-01-09,1,Heathrow,0.0,3.33,10.06,0.84,1.03,0.55,0.02,7.1,-0.7,7.8,3.2
18274,2000-01-10,1,Heathrow,5.0,3.33,10.06,0.86,1.03,0.4,0.0,3.7,-3.3,10.2,2.2
18275,2000-01-11,1,Heathrow,7.0,3.33,10.06,0.85,1.03,0.16,0.0,0.1,0.6,8.2,5.4
18276,2000-01-12,1,Heathrow,7.0,3.33,10.06,0.81,1.02,0.14,0.28,0.0,7.8,5.0,8.0
18277,2000-01-13,1,Heathrow,7.0,3.33,10.06,0.87,1.02,0.14,0.02,0.0,2.7,6.3,3.8
18278,2000-01-14,1,Heathrow,6.0,3.33,10.06,0.86,1.02,0.45,0.03,4.2,-0.5,6.7,2.9
18279,2000-01-15,1,Heathrow,6.0,3.33,10.06,0.86,1.04,0.25,0.0,0.9,2.6,7.2,4.6
18280,2000-01-16,1,Heathrow,6.0,3.33,10.06,0.83,1.04,0.44,0.0,3.9,2.2,8.6,4.7
18281,2000-01-17,1,Heathrow,5.0,3.33,10.06,0.91,1.04,0.44,0.0,3.8,0.3,8.4,4.4
18282,2000-01-18,1,Heathrow,6.0,3.33,10.06,0.88,1.04,0.15,0.02,0.0,1.2,7.3,4.8
18283,2000-01-19,1,Heathrow,6.0,3.33,10.06,0.83,1.04,0.24,0.0,0.6,3.6,5.3,5.4
18284,2000-01-20,1,Heathrow,6.0,3.33,10.06,0.9,1.03,0.16,0.0,0.0,-2.2,9.2,1.6
18285,2000-01-21,1,Heathrow,5.0,3.33,10.06,0.8,1.03,0.59,0.02,6.2,0.7,7.8,5.0
18286,2000-01-22,1,Heathrow,5.0,3.33,10.06,0.75,1.02,0.36,0.12,2.1,2.6,7.3,5.2
18287,2000-01-23,1,Heathrow,5.0,3.33,10.06,0.75,1.02,0.57,0.0,5.4,0.8,5.8,4.0
18288,2000-01-24,1,Heathrow,5.0,3.33,10.06,0.8,1.03,0.61,0.0,6.0,0.4,3.7,3.1
18289,2000-01-25,1,Heathrow,6.0,3.33,10.06,0.91,1.03,0.28,0.0,0.8,-2.7,6.1,0.5
18290,2000-01-26,1,Heathrow,3.0,3.33,10.06,0.85,1.03,0.68,0.0,7.2,0.2,5.2,3.2
18291,2000-01-27,1,Heathrow,0.0,3.33,10.06,0.84,1.03,0.74,0.0,8.1,-3.5,10.8,0.8
18292,2000-01-28,1,Heathrow,7.0,3.33,10.06,0.82,1.01,0.2,0.22,0.1,-1.8,13.5,4.5
18293,2000-01-29,1,Heathrow,7.0,3.33,10.06,0.82,1.0,0.49,0.0,3.3,3.4,12.9,8.4
18294,2000-01-30,1,Heathrow,7.0,3.33,10.06,0.77,1.01,0.24,0.0,0.3,10.4,12.7,11.6
18295,2000-01-31,1,Heathrow,7.0,3.33,10.06,0.77,1.02,0.25,0.0,0.3,10.3,10.7,11.5
18296,2000-02-01,2,Heathrow,8.0,3.33,10.06,0.85,1.02,0.19,0.98,0.0,9.1,10.6,9.9
18297,2000-02-02,2,Heathrow,4.0,3.33,10.06,0.75,1.02,0.74,0.0,6.9,5.8,9.3,8.2
18298,2000-02-03,2,Heathrow,7.0,3.33,10.06,0.85,1.03,0.28,0.0,0.5,2.7,11.0,6.0
18299,2000-02-04,2,Heathrow,7.0,3.33,10.06,0.86,1.03,0.2,0.0,0.0,4.7,11.6,7.8
18300,2000-02-05,2,Heathrow,7.0,3.33,10.06,0.8,1.03,0.42,0.0,1.8,7.3,12.1,9.4
18301,2000-02-06,2,Heathrow,8.0,3.33,10.06,0.88,1.02,0.24,0.18,0.1,7.2,11.0,9.6
18302,2000-02-07,2,Heathrow,6.0,3.33,10.06,0.81,1.01,0.21,0.38,0.0,5.0,13.8,8.0
18303,2000-02-08,2,Heathrow,5.0,3.33,10.06,0.73,1.01,0.59,0.22,3.6,7.0,10.6,10.4
18304,2000-02-09,2,Heathrow,5.0,3.33,10.06,0.68,1.02,0.52,0.06,2.6,2.9,10.1,6.8
18305,2000-02-10,2,Heathrow,5.0,3.33,10.06,0.71,1.02,0.48,0.3,2.0,5.9,10.4,8.0
18306,2000-02-11,2,Heathrow,3.0,3.33,10.06,0.76,1.03,0.8,0.38,6.2,-0.1,9.6,5.2
18307,2000-02-12,2,Heathrow,6.0,3.33,10.06,0.75,1.02,0.61,0.08,3.4,3.2,9.9,6.4
18308,2000-02-13,2,Heathrow,3.0,3.33,10.06,0.69,1.02,0.97,0.0,8.5,4.8,10.2,7.4
18309,2000-02-14,2,Heathrow,5.0,3.33,10.06,0.9,1.02,0.43,0.18,1.2,-1.1,8.6,4.6
18310,2000-02-15,2,Heathrow,6.0,3.33,10.06,0.82,1.01,0.53,0.12,2.2,2.3,8.0,5.4
18311,2000-02-16,2,Heathrow,3.0,3.33,10.06,0.68,1.0,0.97,0.0,7.8,1.4,9.6,4.7
