,date,month,city,cloud_cover,wind_speed,wind_gust,humidity,pressure,global_radiation,precipitation,sunshine,temp_min,temp_max,temp_mean
21911,2000-01-01,1,Kassel,5.13,2.5,8.2,0.93,1.02,0.06,0.13,0.0,1.5,5.0,3.5
21912,2000-01-02,1,Kassel,5.13,2.9,9.6,0.92,1.03,0.33,0.0,2.9,0.3,4.7,2.3
21913,2000-01-03,1,Kassel,5.13,4.8,11.9,0.9,1.03,0.2,0.01,0.0,2.2,4.6,3.5
21914,2000-01-04,1,Kassel,5.13,4.5,12.7,0.94,1.02,0.06,0.44,0.0,3.5,5.6,4.8
21915,2000-01-05,1,Kassel,5.13,2.4,8.8,0.84,1.02,0.48,0.0,6.7,0.2,6.3,2.3
21916,2000-01-06,1,Kassel,5.13,3.7,11.8,0.94,1.02,0.08,0.0,0.0,0.4,4.4,3.6
21917,2000-01-07,1,Kassel,5.13,3.0,7.8,0.92,1.02,0.23,0.0,1.4,3.5,6.6,4.4
21918,2000-01-08,1,Kassel,5.13,3.6,10.4,0.87,1.02,0.17,0.0,0.0,2.8,5.1,4.2
21919,2000-01-09,1,Kassel,5.13,1.9,6.6,0.89,1.02,0.27,0.0,0.5,1.7,6.4,3.4
21920,2000-01-10,1,Kassel,5.13,1.3,5.2,0.81,1.03,0.34,0.0,2.7,0.7,4.5,1.8
21921,2000-01-11,1,Kassel,5.13,2.4,9.0,0.9,1.04,0.44,0.0,3.8,-4.1,1.5,-0.7
21922,2000-01-12,1,Kassel,5.13,4.5,11.3,0.89,1.03,0.09,0.0,0.0,-0.6,1.1,-0.1
21923,2000-01-13,1,Kassel,5.13,3.5,11.6,0.85,1.02,0.11,0.0,0.0,-2.2,-0.5,-1.3
21924,2000-01-14,1,Kassel,5.13,2.0,6.2,0.88,1.02,0.1,0.0,0.0,-0.9,2.0,1.2
21925,2000-01-15,1,Kassel,5.13,1.8,8.7,0.81,1.03,0.17,0.0,0.0,0.3,2.8,0.9
21926,2000-01-16,1,Kassel,5.13,1.8,6.6,0.95,1.03,0.16,0.05,0.0,-1.4,2.9,1.4
21927,2000-01-17,1,Kassel,5.13,4.2,17.6,0.9,1.02,0.13,0.0,0.0,2.6,6.3,5.9
21928,2000-01-18,1,Kassel,5.13,5.6,20.7,0.83,1.02,0.23,0.42,0.4,2.1,6.2,3.6
21929,2000-01-19,1,Kassel,5.13,1.7,8.3,0.83,1.03,0.41,0.0,2.5,-1.5,3.5,-0.1
21930,2000-01-20,1,Kassel,5.13,2.3,11.5,0.9,1.03,0.1,0.55,0.0,-2.7,3.3,2.5
21931,2000-01-21,1,Kassel,5.13,4.1,17.4,0.8,1.02,0.26,0.16,0.7,0.2,4.3,1.8
21932,2000-01-22,1,Kassel,5.13,2.0,6.6,0.96,1.01,0.12,0.82,0.0,0.0,2.1,0.7
21933,2000-01-23,1,Kassel,5.13,2.7,8.7,0.78,1.02,0.48,0.09,3.6,-7.2,0.9,-4.4
21934,2000-01-24,1,Kassel,5.13,1.0,5.0,0.83,1.03,0.66,0.0,5.8,-10.3,-2.3,-6.5
21935,2000-01-25,1,Kassel,5.13,2.3,6.6,0.83,1.03,0.72,0.0,7.7,-10.1,-2.1,-6.2
21936,2000-01-26,1,Kassel,5.13,3.8,8.5,0.86,1.03,0.29,0.02,0.0,-7.0,-1.3,-2.8
21937,2000-01-27,1,Kassel,5.13,3.4,8.3,0.89,1.03,0.16,0.0,0.0,-2.3,-0.4,-1.6
21938,2000-01-28,1,Kassel,5.13,4.5,10.7,0.7,1.02,0.36,0.01,1.7,-5.6,0.7,-0.8
21939,2000-01-29,1,Kassel,5.13,5.1,14.2,0.93,1.0,0.09,1.5,0.0,0.7,8.2,5.7
21940,2000-01-30,1,Kassel,5.13,3.7,15.5,0.76,1.01,0.48,0.21,1.9,4.7,8.0,6.5
21941,2000-01-31,1,Kassel,5.13,3.3,15.3,0.89,1.02,0.18,0.18,0.0,6.8,10.6,8.3
21942,2000-02-01,2,Kassel,5.13,3.2,10.8,0.83,1.02,0.39,0.02,1.0,6.1,10.0,6.9
21943,2000-02-02,2,Kassel,5.13,3.2,11.3,0.85,1.02,0.17,0.2,0.0,4.9,8.0,6.2
21944,2000-02-03,2,Kassel,5.13,3.3,10.8,0.79,1.03,0.51,0.14,2.7,3.4,7.4,4.4
21945,2000-02-04,2,Kassel,5.13,3.2,10.2,0.92,1.03,0.12,0.15,0.0,1.2,6.6,4.8
21946,2000-02-05,2,Kassel,5.13,3.1,7.6,0.82,1.03,0.62,0.0,3.8,4.5,10.5,6.9
21947,2000-02-06,2,Kassel,5.13,3.8,9.6,0.69,1.02,0.66,0.0,4.1,5.4,11.3,8.3
21948,2000-02-07,2,Kassel,5.13,4.4,14.0,0.77,1.01,0.45,0.23,2.1,6.2,9.4,7.4
21949,2000-02-08,2,Kassel,5.13,4.6,20.6,0.75,1.0,0.21,0.48,0.0,5.5,11.0,8.6
21950,2000-02-09,2,Kassel,5.13,4.6,16.7,0.75,1.02,0.55,0.0,1.9,1.4,8.8,4.8
21951,2000-02-10,2,Kassel,5.13,4.7,15.8,0.83,1.02,0.62,0.11,3.1,3.3,7.4,5.2
21952,2000-02-11,2,Kassel,5.13,1.9,10.2,0.72,1.03,0.89,0.0,7.0,0.0,8.0,3.0
21953,2000-02-12,2,Kassel,5.13,4.1,13.7,0.84,1.02,0.95,0.54,8.0,-2.5,4.7,1.8
21954,2000-02-13,2,Kassel,5.13,2.8,13.5,0.85,1.02,0.65,0.49,4.4,1.3,6.9,3.0
21955,2000-02-14,2,Kassel,5.13,2.7,9.8,0.69,1.02,0.86,0.19,5.3,1.4,7.3,3.8
21956,2000-02-15,2,Kassel,5.13,2.3,9.6,0.91,1.01,0.24,0.2,0.0,2.6,7.3,5.1
21957,2000-02-16,2,Kassel,5.13,3.6,14.8,0.81,1.0,0.7,0.42,3.4,-0.6,5.0,1.6
21958,2000-02-17,2,Kassel,5.13,2.6,9.7,0.89,1.01,0.63,0.22,1.7,-1.1,2.6,0.3
21959,2000-02-18,2,Kassel,5.13,3.9,13.2,0.95,1.01,0.27,0.33,0.0,-0.6,1.1,0.5
21960,2000-02-19,2,Kassel,5.13,2.4,9.2,0.9,1.0,0.47,0.55,1.2,0.9,6.2,3.0
21961,2000-02-20,2,Kassel,5.13,2.9,12.4,0.89,1.02,0.76,0.05,3.2,-2.3,2.4,-0.6
21962,2000-02-21,2,Kassel,5.13,1.5,4.8,0.82,1.03,0.75,0.03,3.1,-4.9,3.8,-0.6
21963,2000-02-22,2,Kassel,5.13,2.5,7.6,0.82,1.02,0.92,0.0,4.0,-0.6,7.5,2.7
21964,2000-02-23,2,Kassel,5.13,2.6,5.9,0.9,1.03,0.6,0.0,1.4,-1.4,5.1,2.2
21965,2000-02-24,2,Kassel,5.13,3.7,11.2,0.92,1.02,0.29,1.91,0.0,2.2,6.2,4.7
21966,2000-02-25,2,Kassel,5.13,1.8,9.5,0.89,1.02,0.5,0.39,1.0,0.7,5.5,2.4
21967,2000-02-26,2,Kassel,5.13,2.2,6.2,0.8,1.03,1.09,0.0,7.3,-0.6,7.4,1.7
21968,2000-02-27,2,Kassel,5.13,3.8,13.4,0.77,1.03,1.24,0.0,9.2,-4.0,10.0,5.6
21969,2000-02-28,2,Kassel,5.13,4.2,14.6,0.71,1.01,0.94,0.09,6.4,6.2,14.7,8.8
21970,2000-02-29,2,Kassel,5.13,5.0,16.5,0.85,1.01,0.66,0.75,1.2,2.8,8.2,5.6
21971,2000-03-01,3,Kassel,5.13,2.9,13.0,0.9,1.0,0.5,0.14,0.3,1.6,6.7,3.6
21972,2000-03-02,3,Kassel,5.13,4.1,14.8,0.7,1.02,0.87,0.13,2.7,1.7,6.0,3.6
21973,2000-03-03,3,Kassel,5.13,5.0,16.1,0.91,1.0,0.28,0.82,0.0,1.9,8.0,3.3
21974,2000-03-04,3,Kassel,5.13,4.5,13.9,0.76,1.02,1.09,0.12,5.6,-0.4,3.4,0.5
21975,2000-03-05,3,Kassel,5.13,2.8,12.0,0.77,1.03,0.8,0.0,1.3,-0.7,4.2,1.0
21976,2000-03-06,3,Kassel,5.13,3.2,11.1,0.7,1.03,1.0,0.0,3.8,-1.3,7.6,4.9
21977,2000-03-07,3,Kassel,5.13,3.9,10.9,0.79,1.02,0.55,0.0,0.4,4.3,9.5,8.1
21978,2000-03-08,3,Kassel,5.13,3.3,11.0,0.91,1.02,0.34,1.15,0.0,7.6,11.4,10.1
21979,2000-03-09,3,Kassel,5.13,5.1,17.6,0.81,1.02,0.65,0.86,1.4,8.8,13.0,10.0
21980,2000-03-10,3,Kassel,5.13,2.7,12.0,0.73,1.02,1.23,0.28,3.9,2.7,8.8,5.2
21981,2000-03-11,3,Kassel,5.13,3.5,16.3,0.84,1.01,0.65,0.28,0.9,5.4,10.0,7.2
21982,2000-03-12,3,Kassel,5.13,1.3,8.1,0.79,1.02,0.52,0.01,0.1,3.1,8.1,5.4
21983,2000-03-13,3,Kassel,5.13,1.9,7.5,0.75,1.02,1.46,0.01,6.2,3.0,12.8,8.2
21984,2000-03-14,3,Kassel,5.13,3.3,16.4,0.87,1.02,0.43,1.07,0.1,3.4,11.0,6.4
21985,2000-03-15,3,Kassel,5.13,4.4,16.8,0.75,1.02,1.17,0.35,3.9,0.8,6.0,3.0
21986,2000-03-16,3,Kassel,5.13,4.1,16.8,0.7,1.02,1.01,0.01,2.1,3.2,8.3,6.2
21987,2000-03-17,3,Kassel,5.13,4.4,15.4,0.94,1.02,0.24,0.54,0.0,5.8,7.2,6.2
21988,2000-03-18,3,Kassel,5.13,3.0,9.3,0.92,1.02,0.34,0.13,0.0,4.6,7.7,5.6
21989,2000-03-19,3,Kassel,5.13,2.8,9.4,0.7,1.03,1.56,0.0,7.0,3.8,9.0,5.1
21990,2000-03-20,3,Kassel,5.13,1.6,7.2,0.71,1.03,1.61,0.0,8.1,2.5,12.0,6.2
21991,2000-03-21,3,Kassel,5.13,0.9,4.3,0.76,1.02,1.56,0.0,7.0,0.0,12.5,5.8
