,date,month,city,cloud_cover,wind_speed,wind_gust,humidity,pressure,global_radiation,precipitation,sunshine,temp_min,temp_max,temp_mean
25564,2000-01-01,1,Ljubljana,6.0,0.4,10.06,0.83,1.03,0.57,0.0,5.2,-9.1,-1.3,-4.8
25565,2000-01-02,1,Ljubljana,6.0,0.4,10.06,0.76,1.03,0.59,0.0,5.0,-4.9,2.0,-0.9
25566,2000-01-03,1,Ljubljana,6.0,0.3,10.06,0.83,1.03,0.51,0.0,2.4,-1.8,3.3,-0.3
25567,2000-01-04,1,Ljubljana,2.0,0.4,10.06,0.88,1.03,0.7,0.0,3.5,-6.1,0.4,-3.6
25568,2000-01-05,1,Ljubljana,4.0,0.6,10.06,0.85,1.03,0.57,0.0,4.6,-6.1,1.1,-3.0
25569,2000-01-06,1,Ljubljana,6.0,0.4,10.06,0.89,1.03,0.53,0.0,4.5,-6.0,-0.4,-3.8
25570,2000-01-07,1,Ljubljana,4.0,0.5,10.06,0.93,1.03,0.46,0.0,3.5,-6.2,-1.2,-3.6
25571,2000-01-08,1,Ljubljana,3.0,0.6,10.06,0.85,1.03,0.64,0.0,5.6,-6.5,0.9,-3.2
25572,2000-01-09,1,Ljubljana,8.0,0.6,10.06,0.88,1.03,0.15,0.0,0.0,-4.5,-1.5,-2.4
25573,2000-01-10,1,Ljubljana,8.0,1.2,10.06,0.87,1.04,0.21,0.01,0.0,-1.9,-0.3,-1.2
25574,2000-01-11,1,Ljubljana,6.0,0.4,10.06,0.85,1.04,0.25,0.0,0.0,-1.2,2.0,-0.2
25575,2000-01-12,1,Ljubljana,6.0,1.0,10.06,0.74,1.04,0.66,0.0,5.6,-3.2,2.9,-0.2
25576,2000-01-13,1,Ljubljana,8.0,0.9,10.06,0.76,1.03,0.28,0.0,0.0,-1.9,-0.2,-1.0
25577,2000-01-14,1,Ljubljana,7.0,0.9,10.06,0.75,1.03,0.33,0.0,0.0,-2.8,0.9,-0.6
