,date,month,city,cloud_cover,wind_speed,wind_gust,humidity,pressure,global_radiation,precipitation,sunshine,temp_min,temp_max,temp_mean
29218,2000-01-01,1,Maastricht,8.0,3.1,7.0,0.98,1.03,0.06,0.17,0.0,4.1,6.9,5.6
29219,2000-01-02,1,Maastricht,7.0,3.8,9.0,0.95,1.03,0.14,0.0,0.0,4.2,7.5,6.2
29220,2000-01-03,1,Maastricht,7.0,7.4,14.0,0.87,1.02,0.15,0.02,0.9,6.1,7.9,6.8
29221,2000-01-04,1,Maastricht,8.0,7.2,15.0,0.92,1.02,0.07,1.33,0.0,6.1,9.0,7.3
29222,2000-01-05,1,Maastricht,4.0,4.1,10.0,0.87,1.02,0.44,0.0,6.2,0.6,8.4,5.2
29223,2000-01-06,1,Maastricht,6.0,5.3,12.0,0.86,1.02,0.33,0.26,2.7,3.3,10.3,7.3
29224,2000-01-07,1,Maastricht,6.0,6.0,14.0,0.86,1.02,0.32,0.0,3.3,4.6,7.8,6.6
29225,2000-01-08,1,Maastricht,7.0,4.8,11.0,0.91,1.02,0.19,0.09,0.9,4.6,7.3,5.9
29226,2000-01-09,1,Maastricht,6.0,1.8,4.0,0.95,1.03,0.36,0.0,3.4,-0.4,6.1,4.0
29227,2000-01-10,1,Maastricht,7.0,1.7,4.0,1.0,1.04,0.21,0.0,0.0,-3.1,2.1,-0.3
29228,2000-01-11,1,Maastricht,3.0,3.5,8.0,0.92,1.04,0.61,0.0,6.7,-3.4,3.5,-0.2
29229,2000-01-12,1,Maastricht,5.0,5.1,10.0,0.86,1.03,0.52,0.0,7.2,-2.2,3.8,0.4
29230,2000-01-13,1,Maastricht,8.0,4.4,10.0,0.78,1.02,0.21,0.0,2.1,0.7,3.3,1.9
29231,2000-01-14,1,Maastricht,8.0,2.7,6.0,0.93,1.02,0.14,0.0,0.0,1.5,3.4,2.8
29232,2000-01-15,1,Maastricht,8.0,3.3,9.0,0.88,1.03,0.1,0.0,0.7,0.4,5.1,2.4
29233,2000-01-16,1,Maastricht,8.0,2.5,7.0,0.96,1.04,0.11,0.17,0.0,-0.8,5.0,2.5
29234,2000-01-17,1,Maastricht,8.0,4.5,10.0,0.96,1.03,0.12,0.09,0.3,4.3,7.1,5.5
29235,2000-01-18,1,Maastricht,8.0,5.8,15.0,0.9,1.03,0.13,0.17,0.2,3.8,7.7,5.7
29236,2000-01-19,1,Maastricht,7.0,3.5,7.0,0.86,1.03,0.16,0.0,0.0,2.7,4.8,3.6
29237,2000-01-20,1,Maastricht,8.0,3.9,10.0,0.93,1.03,0.13,0.04,0.0,2.4,4.4,3.3
29238,2000-01-21,1,Maastricht,8.0,4.1,12.0,0.94,1.03,0.13,0.46,0.2,3.4,6.3,4.4
29239,2000-01-22,1,Maastricht,7.0,5.2,16.0,0.95,1.01,0.15,0.53,0.0,1.9,5.1,3.2
29240,2000-01-23,1,Maastricht,7.0,4.4,11.0,0.9,1.02,0.08,0.06,0.0,-4.4,3.4,1.0
29241,2000-01-24,1,Maastricht,2.0,1.5,4.0,0.79,1.03,0.72,0.0,7.8,-6.2,0.2,-3.4
29242,2000-01-25,1,Maastricht,2.0,2.4,4.0,0.75,1.03,0.69,0.0,7.3,-5.9,2.4,-2.1
29243,2000-01-26,1,Maastricht,7.0,4.1,8.0,0.76,1.03,0.5,0.0,2.7,-3.9,2.4,0.2
29244,2000-01-27,1,Maastricht,2.0,4.7,8.0,0.7,1.03,0.68,0.0,7.7,-2.7,3.2,0.5
29245,2000-01-28,1,Maastricht,7.0,7.6,18.0,0.74,1.02,0.15,0.01,0.0,-2.6,5.1,1.5
29246,2000-01-29,1,Maastricht,8.0,11.8,21.0,0.93,1.0,0.05,1.97,0.0,4.3,9.9,7.7
29247,2000-01-30,1,Maastricht,8.0,7.7,22.0,0.92,1.01,0.1,1.44,0.0,7.0,10.3,9.0
29248,2000-01-31,1,Maastricht,8.0,9.3,20.0,0.85,1.02,0.13,0.07,0.0,8.4,10.6,9.5
29249,2000-02-01,2,Maastricht,7.0,7.1,13.0,0.81,1.02,0.28,0.02,0.2,7.3,9.4,8.5
29250,2000-02-02,2,Maastricht,5.0,5.4,11.0,0.88,1.02,0.22,0.18,1.9,3.8,8.3,6.2
29251,2000-02-03,2,Maastricht,5.0,4.8,9.0,0.87,1.03,0.49,0.0,3.2,3.0,7.4,5.2
29252,2000-02-04,2,Maastricht,8.0,8.0,14.0,0.89,1.03,0.3,0.2,0.4,5.0,8.2,6.6
29253,2000-02-05,2,Maastricht,3.0,6.0,12.0,0.64,1.03,0.72,0.0,7.4,4.5,13.6,8.4
29254,2000-02-06,2,Maastricht,7.0,6.1,13.0,0.76,1.02,0.39,0.01,1.7,6.4,9.2,8.3
29255,2000-02-07,2,Maastricht,7.0,8.9,17.0,0.85,1.01,0.45,0.55,2.2,6.2,9.2,7.9
29256,2000-02-08,2,Maastricht,8.0,9.3,20.0,0.82,1.01,0.16,1.12,0.7,3.9,12.1,9.2
29257,2000-02-09,2,Maastricht,6.0,6.8,19.0,0.76,1.02,0.2,0.12,1.1,3.4,7.4,5.5
29258,2000-02-10,2,Maastricht,7.0,7.4,19.0,0.82,1.02,0.5,0.76,3.9,2.8,9.1,5.9
29259,2000-02-11,2,Maastricht,0.0,3.8,8.0,0.84,1.03,0.95,0.0,8.5,-0.6,7.5,2.9
29260,2000-02-12,2,Maastricht,5.0,7.3,18.0,0.84,1.02,0.66,0.24,4.4,0.2,7.5,4.1
29261,2000-02-13,2,Maastricht,5.0,5.0,13.0,0.8,1.02,0.56,0.12,3.7,1.6,8.6,5.4
29262,2000-02-14,2,Maastricht,4.0,4.9,12.0,0.85,1.02,0.95,0.26,7.3,-1.8,8.0,4.2
29263,2000-02-15,2,Maastricht,8.0,4.9,11.0,0.91,1.01,0.28,0.38,0.5,5.0,8.3,7.0
29264,2000-02-16,2,Maastricht,6.0,6.5,24.0,0.86,1.0,0.48,0.64,3.4,-0.5,6.1,2.7
29265,2000-02-17,2,Maastricht,6.0,5.0,14.0,0.81,1.01,0.71,0.07,3.5,0.6,6.3,2.6
29266,2000-02-18,2,Maastricht,8.0,5.8,16.0,0.91,1.0,0.16,0.88,0.0,0.1,7.6,4.2
