,date,month,city,cloud_cover,wind_speed,wind_gust,humidity,pressure,global_radiation,precipitation,sunshine,temp_min,temp_max,temp_mean
32871,2000-01-01,1,Malmo,5.13,2.5,10.06,0.75,1.02,1.37,0.27,5.01,0.9,3.6,2.9
32872,2000-01-02,1,Malmo,5.13,3.8,10.06,0.75,1.02,1.37,0.0,5.01,1.0,5.4,3.7
32873,2000-01-03,1,Malmo,5.13,4.3,10.06,0.75,1.02,1.37,0.06,5.01,4.0,6.9,5.6
32874,2000-01-04,1,Malmo,5.13,3.9,10.06,0.75,1.02,1.37,0.75,5.01,3.0,6.4,4.5
32875,2000-01-05,1,Malmo,5.13,3.2,10.06,0.75,1.02,1.37,0.03,5.01,2.5,5.5,3.8
32876,2000-01-06,1,Malmo,5.13,4.6,10.06,0.75,1.02,1.37,0.17,5.01,2.5,5.4,4.1
32877,2000-01-07,1,Malmo,5.13,3.2,10.06,0.75,1.02,1.37,0.0,5.01,1.6,6.2,3.8
32878,2000-01-08,1,Malmo,5.13,4.3,10.06,0.75,1.02,1.37,0.0,5.01,4.2,5.4,4.7
32879,2000-01-09,1,Malmo,5.13,2.9,10.06,0.75,1.02,1.37,0.0,5.01,1.9,5.0,2.9
32880,2000-01-10,1,Malmo,5.13,3.0,10.06,0.75,1.02,1.37,0.0,5.01,1.6,4.9,2.5
32881,2000-01-11,1,Malmo,5.13,4.8,10.06,0.75,1.02,1.37,0.07,5.01,1.2,3.3,2.8
32882,2000-01-12,1,Malmo,5.13,5.1,10.06,0.75,1.02,1.37,0.0,5.01,2.8,3.9,3.2
32883,2000-01-13,1,Malmo,5.13,2.8,10.06,0.75,1.02,1.37,0.0,5.01,0.6,3.1,1.4
32884,2000-01-14,1,Malmo,5.13,0.6,10.06,0.75,1.02,1.37,0.0,5.01,-0.7,0.7,-0.4
32885,2000-01-15,1,Malmo,5.13,1.8,10.06,0.75,1.02,1.37,0.0,5.01,-0.7,2.5,0.8
32886,2000-01-16,1,Malmo,5.13,3.3,10.06,0.75,1.02,1.37,0.0,5.01,-1.0,6.1,3.7
32887,2000-01-17,1,Malmo,5.13,6.5,10.06,0.75,1.02,1.37,0.0,5.01,5.5,9.0,7.0
32888,2000-01-18,1,Malmo,5.13,6.4,10.06,0.75,1.02,1.37,0.0,5.01,3.5,7.1,4.3
32889,2000-01-19,1,Malmo,5.13,4.2,10.06,0.75,1.02,1.37,0.0,5.01,0.1,4.0,1.6
32890,2000-01-20,1,Malmo,5.13,4.6,10.06,0.75,1.02,1.37,0.26,5.01,0.2,5.7,3.8
32891,2000-01-21,1,Malmo,5.13,3.5,10.06,0.75,1.02,1.37,0.0,5.01,-5.1,4.8,-2.4
32892,2000-01-22,1,Malmo,5.13,1.8,10.06,0.75,1.02,1.37,0.03,5.01,-8.2,-2.0,-5.7
32893,2000-01-23,1,Malmo,5.13,1.0,10.06,0.75,1.02,1.37,0.0,5.01,-10.7,-1.6,-6.6
32894,2000-01-24,1,Malmo,5.13,1.3,10.06,0.75,1.02,1.37,0.0,5.01,-15.2,-1.3,-7.4
32895,2000-01-25,1,Malmo,5.13,3.1,10.06,0.75,1.02,1.37,0.0,5.01,-2.8,2.3,0.9
32896,2000-01-26,1,Malmo,5.13,4.8,10.06,0.75,1.02,1.37,0.0,5.01,0.2,5.0,2.9
32897,2000-01-27,1,Malmo,5.13,5.8,10.06,0.75,1.02,1.37,0.06,5.01,3.8,5.0,4.3
32898,2000-01-28,1,Malmo,5.13,5.6,10.06,0.75,1.02,1.37,0.4,5.01,3.2,4.4,3.7
32899,2000-01-29,1,Malmo,5.13,7.8,10.06,0.75,1.02,1.37,0.5,5.01,2.6,6.8,4.5
32900,2000-01-30,1,Malmo,5.13,9.0,10.06,0.75,1.02,1.37,0.6,5.01,2.3,5.5,3.8
32901,2000-01-31,1,Malmo,5.13,6.6,10.06,0.75,1.02,1.37,0.06,5.01,-0.1,7.3,4.3
32902,2000-02-01,2,Malmo,5.13,4.6,10.06,0.75,1.02,1.37,0.23,5.01,1.5,6.2,4.6
32903,2000-02-02,2,Malmo,5.13,6.3,10.06,0.75,1.02,1.37,0.09,5.01,2.7,6.0,4.0
32904,2000-02-03,2,Malmo,5.13,6.5,10.06,0.75,1.02,1.37,0.0,5.01,0.6,4.4,2.3
32905,2000-02-04,2,Malmo,5.13,5.6,10.06,0.75,1.02,1.37,0.13,5.01,-0.8,6.7,4.4
32906,2000-02-05,2,Malmo,5.13,5.3,10.06,0.75,1.02,1.37,0.0,5.01,6.5,9.2,7.8
32907,2000-02-06,2,Malmo,5.13,3.6,10.06,0.75,1.02,1.37,0.17,5.01,4.9,7.1,5.7
32908,2000-02-07,2,Malmo,5.13,5.3,10.06,0.75,1.02,1.37,0.17,5.01,4.8,7.3,5.8
32909,2000-02-08,2,Malmo,5.13,5.1,10.06,0.75,1.02,1.37,0.41,5.01,4.5,6.3,5.5
32910,2000-02-09,2,Malmo,5.13,5.6,10.06,0.75,1.02,1.37,0.02,5.01,3.4,5.3,3.9
32911,2000-02-10,2,Malmo,5.13,5.0,10.06,0.75,1.02,1.37,0.26,5.01,1.3,6.3,4.4
32912,2000-02-11,2,Malmo,5.13,4.5,10.06,0.75,1.02,1.37,0.0,5.01,3.1,5.9,4.5
32913,2000-02-12,2,Malmo,5.13,5.3,10.06,0.75,1.02,1.37,0.24,5.01,3.2,5.5,4.3
32914,2000-02-13,2,Malmo,5.13,5.7,10.06,0.75,1.02,1.37,0.0,5.01,1.3,5.1,2.8
32915,2000-02-14,2,Malmo,5.13,5.2,10.06,0.75,1.02,1.37,0.3,5.01,-0.1,4.1,1.7
32916,2000-02-15,2,Malmo,5.13,3.7,10.06,0.75,1.02,1.37,0.05,5.01,-0.5,6.8,3.5
32917,2000-02-16,2,Malmo,5.13,2.4,10.06,0.75,1.02,1.37,0.24,5.01,1.7,4.1,2.6
32918,2000-02-17,2,Malmo,5.13,2.2,10.06,0.75,1.02,1.37,0.0,5.01,0.5,3.3,1.3
32919,2000-02-18,2,Malmo,5.13,3.2,10.06,0.75,1.02,1.37,0.0,5.01,-1.8,1.6,0.3
32920,2000-02-19,2,Malmo,5.13,3.5,10.06,0.75,1.02,1.37,0.0,5.01,1.0,2.4,1.7
32921,2000-02-20,2,Malmo,5.13,1.2,10.06,0.75,1.02,1.37,0.0,5.01,-0.9,3.6,1.0
32922,2000-02-21,2,Malmo,5.13,0.9,10.06,0.75,1.02,1.37,0.0,5.01,-5.8,3.8,-1.6
32923,2000-02-22,2,Malmo,5.13,1.2,10.06,0.75,1.02,1.37,0.0,5.01,-4.6,2.0,-1.5
32924,2000-02-23,2,Malmo,5.13,1.5,10.06,0.75,1.02,1.37,0.0,5.01,-4.5,3.5,-0.9
32925,2000-02-24,2,Malmo,5.13,4.5,10.06,0.75,1.02,1.37,0.43,5.01,-0.8,6.1,3.0
32926,2000-02-25,2,Malmo,5.13,5.1,10.06,0.75,1.02,1.37,0.0,5.01,2.0,6.5,4.0
32927,2000-02-26,2,Malmo,5.13,3.5,10.06,0.75,1.02,1.37,0.0,5.01,2.0,6.7,4.2
32928,2000-02-27,2,Malmo,5.13,4.5,10.06,0.75,1.02,1.37,0.0,5.01,0.0,6.3,3.3
32929,2000-02-28,2,Malmo,5.13,5.6,10.06,0.75,1.02,1.37,0.0,5.01,4.9,9.7,6.8
32930,2000-02-29,2,Malmo,5.13,5.1,10.06,0.75,1.02,1.37,0.26,5.01,3.6,6.4,4.9
32931,2000-03-01,3,Malmo,5.13,6.4,10.06,0.75,1.02,1.37,0.07,5.01,3.5,7.4,5.3
32932,2000-03-02,3,Malmo,5.13,6.3,10.06,0.75,1.02,1.37,0.56,5.01,2.2,6.0,3.5
32933,2000-03-03,3,Malmo,5.13,8.4,10.06,0.75,1.02,1.37,0.16,5.01,2.3,7.1,5.0
32934,2000-03-04,3,Malmo,5.13,6.2,10.06,0.75,1.02,1.37,0.05,5.01,-1.1,4.8,1.7
32935,2000-03-05,3,Malmo,5.13,4.9,10.06,0.75,1.02,1.37,0.07,5.01,0.1,3.2,1.3
32936,2000-03-06,3,Malmo,5.13,6.8,10.06,0.75,1.02,1.37,0.42,5.01,0.3,6.1,4.0
32937,2000-03-07,3,Malmo,5.13,3.8,10.06,0.75,1.02,1.37,1.33,5.01,3.0,7.4,4.9
32938,2000-03-08,3,Malmo,5.13,4.8,10.06,0.75,1.02,1.37,0.36,5.01,2.6,8.6,5.5
32939,2000-03-09,3,Malmo,5.13,5.8,10.06,0.75,1.02,1.37,0.0,5.01,2.2,7.6,3.9
32940,2000-03-10,3,Malmo,5.13,3.5,10.06,0.75,1.02,1.37,0.23,5.01,0.3,4.3,2.3
32941,2000-03-11,3,Malmo,5.13,3.6,10.06,0.75,1.02,1.37,1.1,5.01,0.1,2.1,0.7
32942,2000-03-12,3,Malmo,5.13,1.5,10.06,0.75,1.02,1.37,0.11,5.01,-3.8,3.3,0.7
32943,2000-03-13,3,Malmo,5.13,3.4,10.06,0.75,1.02,1.37,0.05,5.01,1.6,7.1,4.7
32944,2000-03-14,3,Malmo,5.13,4.6,10.06,0.75,1.02,1.37,0.2,5.01,4.2,7.1,5.2
32945,2000-03-15,3,Malmo,5.13,5.4,10.06,0.75,1.02,1.37,0.0,5.01,2.4,5.3,3.5
32946,2000-03-16,3,Malmo,5.13,3.1,10.06,0.75,1.02,1.37,0.03,5.01,0.9,5.5,2.9
32947,2000-03-17,3,Malmo,5.13,2.8,10.06,0.75,1.02,1.37,0.0,5.01,-0.7,5.8,2.4
32948,2000-03-18,3,Malmo,5.13,1.5,10.06,0.75,1.02,1.37,0.0,5.01,-2.4,6.6,2.7
32949,2000-03-19,3,Malmo,5.13,1.9,10.06,0.75,1.02,1.37,0.0,5.01,-1.9,9.8,4.3
32950,2000-03-20,3,Malmo,5.13,4.2,10.06,0.75,1.02,1.37,0.0,5.01,3.8,11.9,7.6
32951,2000-03-21,3,Malmo,5.13,3.8,10.06,0.75,1.02,1.37,0.0,5.01,4.2,13.1,7.6
32952,2000-03-22,3,Malmo,5.13,2.6,10.06,0.75,1.02,1.37,0.0,5.01,4.7,8.5,5.8
32953,2000-03-23,3,Malmo,5.13,2.8,10.06,0.75,1.02,1.37,0.0,5.01,3.1,7.6,4.7
32954,2000-03-24,3,Malmo,5.13,2.2,10.06,0.75,1.02,1.37,0.0,5.01,-4.1,7.5,2.1
32955,2000-03-25,3,Malmo,5.13,3.1,10.06,0.75,1.02,1.37,0.13,5.01,-0.1,4.1,3.2
32956,2000-03-26,3,Malmo,5.13,3.7,10.06,0.75,1.02,1.37,0.1,5.01,3.3,4.8,4.0
32957,2000-03-27,3,Malmo,5.13,4.6,10.06,0.75,1.02,1.37,0.79,5.01,1.1,5.3,2.8
32958,2000-03-28,3,Malmo,5.13,6.1,10.06,0.75,1.02,1.37,0.05,5.01,-0.3,5.6,2.4
32959,2000-03-29,3,Malmo,5.13,4.2,10.06,0.75,1.02,1.37,0.0,5.01,-1.6,7.8,3.1
32960,2000-03-30,3,Malmo,5.13,3.8,10.06,0.75,1.02,1.37,0.0,5.01,1.0,9.5,4.5
32961,2000-03-31,3,Malmo,5.13,1.3,10.06,0.75,1.02,1.37,0.0,5.01,-1.2,10.4,4.7
32962,2000-04-01,4,Malmo,5.13,2.5,10.06,0.75,1.02,1.37,0.0,5.01,2.9,8.6,5.5
32963,2000-04-02,4,Malmo,5.13,1.4,10.06,0.75,1.02,1.37,0.0,5.01,3.1,10.4,5.8
32964,2000-04-03,4,Malmo,5.13,4.3,10.06,0.75,1.02,1.37,0.0,5.01,0.2,11.8,5.8
32965,2000-04-04,4,Malmo,5.13,2.5,10.06,0.75,1.02,1.37,0.7,5.01,5.9,9.2,7.0
32966,2000-04-05,4,Malmo,5.13,5.8,10.06,0.75,1.02,1.37,0.0,5.01,1.9,8.2,3.2
32967,2000-04-06,4,Malmo,5.13,3.6,10.06,0.75,1.02,1.37,0.0,5.01,-1.6,10.2,5.4
32968,2000-04-07,4,Malmo,5.13,3.7,10.06,0.75,1.02,1.37,0.0,5.01,5.5,10.8,7.4
32969,2000-04-08,4,Malmo,5.13,1.3,10.06,0.75,1.02,1.37,0.0,5.01,-2.7,10.3,4.1
32970,2000-04-09,4,Malmo,5.13,1.6,10.06,0.75,1.02,1.37,0.0,5.01,-3.5,7.1,2.5
32971,2000-04-10,4,Malmo,5.13,1.7,10.06,0.75,1.02,1.37,0.0,5.01,2.8,9.6,5.5
32972,2000-04-11,4,Malmo,5.13,2.8,10.06,0.75,1.02,1.37,0.0,5.01,3.1,10.8,6.2
32973,2000-04-12,4,Malmo,5.13,2.5,10.06,0.75,1.02,1.37,1.52,5.01,1.2,8.6,5.2
32974,2000-04-13,4,Malmo,5.13,4.4,10.06,0.75,1.02,1.37,0.0,5.01,3.7,9.8,6.5
32975,2000-04-14,4,Malmo,5.13,3.3,10.06,0.75,1.02,1.37,0.0,5.01,4.7,9.1,6.1
32976,2000-04-15,4,Malmo,5.13,2.5,10.06,0.75,1.02,1.37,0.9,5.01,3.2,10.0,6.4
32977,2000-04-16,4,Malmo,5.13,2.5,10.06,0.75,1.02,1.37,0.0,5.01,6.6,12.4,8.8
32978,2000-04-17,4,Malmo,5.13,4.0,10.06,0.75,1.02,1.37,0.03,5.01,3.7,14.0,9.4
32979,2000-04-18,4,Malmo,5.13,1.6,10.06,0.75,1.02,1.37,0.0,5.01,5.5,13.9,9.6
32980,2000-04-19,4,Malmo,5.13,2.5,10.06,0.75,1.02,1.37,0.07,5.01,4.0,16.9,10.4
32981,2000-04-20,4,Malmo,5.13,1.1,10.06,0.75,1.02,1.37,0.0,5.01,5.8,16.5,10.4
32982,2000-04-21,4,Malmo,5.13,2.2,10.06,0.75,1.02,1.37,0.0,5.01,4.3,15.7,11.0
32983,2000-04-22,4,Malmo,5.13,2.7,10.06,0.75,1.02,1.37,0.0,5.01,5.1,18.1,12.3
32984,2000-04-23,4,Malmo,5.13,2.7,10.06,0.75,1.02,1.37,0.0,5.01,10.8,20.7,14.9
32985,2000-04-24,4,Malmo,5.13,3.0,10.06,0.75,1.02,1.37,0.04,5.01,9.5,20.6,13.9
32986,2000-04-25,4,Malmo,5.13,2.7,10.06,0.75,1.02,1.37,0.0,5.01,9.1,14.5,11.5
32987,2000-04-26,4,Malmo,5.13,3.8,10.06,0.75,1.02,1.37,0.0,5.01,3.4,16.1,10.4
32988,2000-04-27,4,Malmo,5.13,4.2,10.06,0.75,1.02,1.37,0.0,5.01,8.3,21.5,15.3
32989,2000-04-28,4,Malmo,5.13,4.9,10.06,0.75,1.02,1.37,0.0,5.01,11.6,23.4,17.5
32990,2000-04-29,4,Malmo,5.13,4.8,10.06,0.75,1.02,1.37,0.0,5.01,15.2,25.2,20.4
32991,2000-04-30,4,Malmo,5.13,1.9,10.06,0.75,1.02,1.37,0.0,5.01,14.2,26.1,20.2
32992,2000-05-01,5,Malmo,5.13,5.0,10.06,0.75,1.02,1.37,0.0,5.01,10.6,20.7,14.2
32993,2000-05-02,5,Malmo,5.13,4.7,10.06,0.75,1.02,1.37,0.0,5.01,7.5,16.5,11.6
32994,2000-05-03,5,Malmo,5.13,1.9,10.06,0.75,1.02,1.37,0.0,5.01,4.6,18.1,12.3
32995,2000-05-04,5,Malmo,5.13,1.4,10.06,0.75,1.02,1.37,0.0,5.01,6.2,19.2,12.7
32996,2000-05-05,5,Malmo,5.13,1.1,10.06,0.75,1.02,1.37,0.0,5.01,4.2,17.0,11.1
32997,2000-05-06,5,Malmo,5.13,2.7,10.06,0.75,1.02,1.37,0.0,5.01,3.7,21.0,12.4
32998,2000-05-07,5,Malmo,5.13,2.4,10.06,0.75,1.02,1.37,0.0,5.01,4.2,17.2,11.1
32999,2000-05-08,5,Malmo,5.13,1.8,10.06,0.75,1.02,1.37,0.0,5.01,1.4,22.1,13.3
33000,2000-05-09,5,Malmo,5.13,2.6,10.06,0.75,1.02,1.37,0.0,5.01,5.4,21.5,14.3
33001,2000-05-10,5,Malmo,5.13,1.7,10.06,0.75,1.02,1.37,0.0,5.01,5.6,22.5,14.9
33002,2000-05-11,5,Malmo,5.13,2.3,10.06,0.75,1.02,1.37,0.0,5.01,7.9,21.0,14.6
33003,2000-05-12,5,Malmo,5.13,1.5,10.06,0.75,1.02,1.37,0.0,5.01,3.6,16.5,10.4
33004,2000-05-13,5,Malmo,5.13,2.3,10.06,0.75,1.02,1.37,0.0,5.01,5.4,19.7,13.4
33005,2000-05-14,5,Malmo,5.13,1.0,10.06,0.75,1.02,1.37,0.0,5.01,5.9,23.2,16.6
33006,2000-05-15,5,Malmo,5.13,1.7,10.06,0.75,1.02,1.37,0.0,5.01,8.6,25.5,18.4
33007,2000-05-16,5,Malmo,5.13,2.5,10.06,0.75,1.02,1.37,0.0,5.01,8.3,25.5,18.5
33008,2000-05-17,5,Malmo,5.13,3.4,10.06,0.75,1.02,1.37,1.8,5.01,13.6,26.2,18.4
33009,2000-05-18,5,Malmo,5.13,2.4,10.06,0.75,1.02,1.37,0.0,5.01,9.1,16.2,12.9
33010,2000-05-19,5,Malmo,5.13,2.2,10.06,0.75,1.02,1.37,0.0,5.01,10.5,15.8,12.8
33011,2000-05-20,5,Malmo,5.13,1.0,10.06,0.75,1.02,1.37,0.13,5.01,6.1,17.1,11.9
33012,2000-05-21,5,Malmo,5.13,1.7,10.06,0.75,1.02,1.37,0.06,5.01,7.7,17.5,12.7
33013,2000-05-22,5,Malmo,5.13,1.2,10.06,0.75,1.02,1.37,0.0,5.01,8.1,16.8,12.9
33014,2000-05-23,5,Malmo,5.13,3.0,10.06,0.75,1.02,1.37,0.11,5.01,7.6,16.7,13.0
33015,2000-05-24,5,Malmo,5.13,3.0,10.06,0.75,1.02,1.37,0.95,5.01,12.3,16.6,13.9
33016,2000-05-25,5,Malmo,5.13,4.5,10.06,0.75,1.02,1.37,0.21,5.01,9.8,16.1,13.0
33017,2000-05-26,5,Malmo,5.13,4.4,10.06,0.75,1.02,1.37,0.0,5.01,9.4,16.6,12.9
33018,2000-05-27,5,Malmo,5.13,4.5,10.06,0.75,1.02,1.37,0.28,5.01,9.1,17.4,13.4
33019,2000-05-28,5,Malmo,5.13,4.7,10.06,0.75,1.02,1.37,0.01,5.01,9.1,16.8,12.7
33020,2000-05-29,5,Malmo,5.13,6.4,10.06,0.75,1.02,1.37,0.02,5.01,9.0,15.2,10.7
33021,2000-05-30,5,Malmo,5.13,3.9,10.06,0.75,1.02,1.37,0.0,5.01,8.8,14.1,11.1
33022,2000-05-31,5,Malmo,5.13,2.8,10.06,0.75,1.02,1.37,0.0,5.01,6.9,15.7,11.4
33023,2000-06-01,6,Malmo,5.13,2.3,10.06,0.75,1.02,1.37,0.4,5.01,5.8,18.0,12.3
33024,2000-06-02,6,Malmo,5.13,4.6,10.06,0.75,1.02,1.37,0.0,5.01,12.8,18.0,15.1
33025,2000-06-03,6,Malmo,5.13,2.6,10.06,0.75,1.02,1.37,0.0,5.01,9.8,16.6,13.0
33026,2000-06-04,6,Malmo,5.13,1.4,10.06,0.75,1.02,1.37,0.05,5.01,5.4,14.7,10.0
33027,2000-06-05,6,Malmo,5.13,2.6,10.06,0.75,1.02,1.37,0.2,5.01,4.6,16.9,11.8
33028,2000-06-06,6,Malmo,5.13,3.0,10.06,0.75,1.02,1.37,0.84,5.01,7.4,14.0,9.3
33029,2000-06-07,6,Malmo,5.13,5.0,10.06,0.75,1.02,1.37,0.21,5.01,7.2,14.0,10.7
33030,2000-06-08,6,Malmo,5.13,4.4,10.06,0.75,1.02,1.37,0.0,5.01,9.4,17.3,13.4
33031,2000-06-09,6,Malmo,5.13,2.8,10.06,0.75,1.02,1.37,0.0,5.01,6.9,19.3,14.3
33032,2000-06-10,6,Malmo,5.13,4.3,10.06,0.75,1.02,1.37,0.0,5.01,12.6,24.7,18.9
33033,2000-06-11,6,Malmo,5.13,2.6,10.06,0.75,1.02,1.37,0.0,5.01,14.6,21.9,16.8
33034,2000-06-12,6,Malmo,5.13,4.8,10.06,0.75,1.02,1.37,0.0,5.01,12.2,18.4,15.3
33035,2000-06-13,6,Malmo,5.13,4.6,10.06,0.75,1.02,1.37,0.0,5.01,13.5,22.6,17.4
33036,2000-06-14,6,Malmo,5.13,3.5,10.06,0.75,1.02,1.37,0.0,5.01,12.3,17.9,14.8
33037,2000-06-15,6,Malmo,5.13,5.0,10.06,0.75,1.02,1.37,0.0,5.01,11.2,17.7,13.8
33038,2000-06-16,6,Malmo,5.13,5.6,10.06,0.75,1.02,1.37,0.0,5.01,10.1,16.6,13.2
33039,2000-06-17,6,Malmo,5.13,3.0,10.06,0.75,1.02,1.37,0.0,5.01,11.0,20.4,15.9
