,date,month,city,cloud_cover,wind_speed,wind_gust,humidity,pressure,global_radiation,precipitation,sunshine,temp_min,temp_max,temp_mean
36525,2000-01-01,1,Montelimar,5.13,3.8,10.06,0.85,1.03,0.3,0.0,5.01,2.5,8.5,5.5
36526,2000-01-02,1,Montelimar,5.13,5.8,10.06,0.82,1.03,0.54,0.0,5.01,6.8,9.8,8.3
36527,2000-01-03,1,Montelimar,5.13,0.4,10.06,0.92,1.03,0.53,0.0,5.01,-2.1,8.5,3.2
36528,2000-01-04,1,Montelimar,5.13,1.1,10.06,0.85,1.03,0.64,0.0,5.01,2.3,12.1,7.2
36529,2000-01-05,1,Montelimar,5.13,3.4,10.06,0.82,1.02,0.7,0.0,5.01,1.5,14.8,8.2
36530,2000-01-06,1,Montelimar,5.13,0.5,10.06,0.91,1.02,0.35,0.0,5.01,0.0,11.3,5.6
36531,2000-01-07,1,Montelimar,5.13,3.8,10.06,0.81,1.02,0.66,0.0,5.01,1.3,12.0,6.6
36532,2000-01-08,1,Montelimar,5.13,2.4,10.06,0.89,1.02,0.52,0.0,5.01,1.6,7.3,4.5
36533,2000-01-09,1,Montelimar,5.13,1.9,10.06,0.94,1.02,0.2,0.5,5.01,2.5,7.2,4.8
36534,2000-01-10,1,Montelimar,5.13,7.0,10.06,0.77,1.03,0.44,0.0,5.01,5.5,7.4,6.4
36535,2000-01-11,1,Montelimar,5.13,5.6,10.06,0.78,1.03,0.53,0.0,5.01,4.8,7.0,5.9
36536,2000-01-12,1,Montelimar,5.13,2.5,10.06,0.84,1.03,0.6,0.0,5.01,3.9,8.0,6.0
36537,2000-01-13,1,Montelimar,5.13,1.0,10.06,0.89,1.02,0.27,0.0,5.01,-1.0,7.5,3.2
36538,2000-01-14,1,Montelimar,5.13,2.2,10.06,0.79,1.02,0.71,0.0,5.01,-1.1,9.0,4.0
36539,2000-01-15,1,Montelimar,5.13,6.0,10.06,0.73,1.03,0.57,0.0,5.01,4.4,7.9,6.2
36540,2000-01-16,1,Montelimar,5.13,8.8,10.06,0.67,1.03,0.29,0.0,5.01,1.6,3.4,2.5
36541,2000-01-17,1,Montelimar,5.13,9.9,10.06,0.74,1.03,0.58,0.0,5.01,0.7,7.0,3.8
36542,2000-01-18,1,Montelimar,5.13,11.8,10.06,0.69,1.02,0.23,0.0,5.01,4.4,8.5,6.4
36543,2000-01-19,1,Montelimar,5.13,10.0,10.06,0.57,1.02,0.87,0.0,5.01,5.2,7.9,6.6
36544,2000-01-20,1,Montelimar,5.13,7.4,10.06,0.68,1.03,0.84,0.0,5.01,0.6,5.9,3.2
36545,2000-01-21,1,Montelimar,5.13,9.2,10.06,0.62,1.03,0.67,0.0,5.01,1.7,6.4,4.0
36546,2000-01-22,1,Montelimar,5.13,5.4,10.06,0.72,1.02,0.51,0.0,5.01,3.6,7.4,5.5
36547,2000-01-23,1,Montelimar,5.13,6.5,10.06,0.69,1.02,0.68,0.0,5.01,1.6,7.7,4.6
36548,2000-01-24,1,Montelimar,5.13,7.6,10.06,0.63,1.02,0.81,0.0,5.01,2.6,5.4,4.0
36549,2000-01-25,1,Montelimar,5.13,5.9,10.06,0.7,1.03,0.39,0.0,5.01,-2.1,0.3,-0.9
36550,2000-01-26,1,Montelimar,5.13,4.1,10.06,0.73,1.03,0.88,0.0,5.01,-4.2,2.8,-0.7
36551,2000-01-27,1,Montelimar,5.13,1.2,10.06,0.86,1.03,0.58,0.12,5.01,-4.6,2.7,-0.9
36552,2000-01-28,1,Montelimar,5.13,2.9,10.06,0.82,1.03,0.91,0.0,5.01,-4.6,8.3,1.9
36553,2000-01-29,1,Montelimar,5.13,1.5,10.06,0.85,1.02,0.68,0.0,5.01,-2.6,7.4,2.4
36554,2000-01-30,1,Montelimar,5.13,5.4,10.06,0.77,1.03,0.95,0.0,5.01,0.3,15.0,7.6
