,date,month,city,cloud_cover,wind_speed,wind_gust,humidity,pressure,global_radiation,precipitation,sunshine,temp_min,temp_max,temp_mean
40179,2000-01-01,1,Muenchen,8.0,2.6,9.4,0.91,1.03,0.2,0.2,0.0,-0.5,2.6,1.7
40180,2000-01-02,1,Muenchen,6.0,2.1,8.2,0.9,1.03,0.66,0.0,6.1,-0.2,5.8,1.9
40181,2000-01-03,1,Muenchen,7.0,2.1,6.9,0.92,1.03,0.28,0.0,0.4,-3.3,0.9,-0.4
40182,2000-01-04,1,Muenchen,6.0,2.7,11.7,0.75,1.03,0.58,0.04,4.5,-2.8,6.6,3.8
40183,2000-01-05,1,Muenchen,5.0,3.3,13.2,0.87,1.02,0.26,0.0,0.2,4.3,7.3,5.3
40184,2000-01-06,1,Muenchen,3.0,0.9,3.5,0.99,1.03,0.49,0.0,2.8,-3.4,4.3,-1.0
40185,2000-01-07,1,Muenchen,5.0,1.4,6.1,0.82,1.03,0.48,0.0,2.5,-2.4,7.6,3.4
40186,2000-01-08,1,Muenchen,2.0,1.8,5.6,0.78,1.03,0.58,0.0,4.2,0.4,8.6,2.7
40187,2000-01-09,1,Muenchen,8.0,1.0,3.4,0.91,1.03,0.21,0.13,0.0,-1.0,2.5,1.8
40188,2000-01-10,1,Muenchen,8.0,1.8,5.5,0.95,1.03,0.21,0.0,0.0,-1.6,2.1,-0.6
40189,2000-01-11,1,Muenchen,8.0,2.3,6.0,0.91,1.04,0.21,0.0,0.0,-1.3,0.0,-0.6
40190,2000-01-12,1,Muenchen,8.0,2.0,5.8,0.88,1.03,0.21,0.0,0.0,-3.0,-0.2,-2.4
40191,2000-01-13,1,Muenchen,3.0,1.7,5.4,0.81,1.03,0.67,0.0,5.2,-4.7,0.3,-2.9
40192,2000-01-14,1,Muenchen,0.0,1.5,3.8,0.83,1.03,0.8,0.0,7.8,-7.8,0.8,-4.1
40193,2000-01-15,1,Muenchen,8.0,1.2,3.5,0.94,1.03,0.22,0.0,0.0,-7.8,-4.6,-5.8
40194,2000-01-16,1,Muenchen,6.0,1.5,5.6,0.83,1.04,0.22,0.0,0.0,-5.5,-1.6,-2.9
40195,2000-01-17,1,Muenchen,8.0,6.7,16.6,0.86,1.03,0.23,0.65,0.0,-3.0,3.1,1.8
40196,2000-01-18,1,Muenchen,8.0,7.2,20.2,0.96,1.02,0.23,0.78,0.0,0.0,3.7,1.7
40197,2000-01-19,1,Muenchen,3.0,3.7,9.6,0.81,1.03,0.72,0.0,5.4,-2.2,1.8,-1.4
40198,2000-01-20,1,Muenchen,8.0,4.5,13.9,0.76,1.03,0.3,0.0,0.2,-2.9,0.5,-0.6
40199,2000-01-21,1,Muenchen,8.0,7.8,19.6,0.88,1.02,0.24,0.75,0.0,-0.5,0.6,0.1
40200,2000-01-22,1,Muenchen,8.0,3.8,10.4,0.97,1.02,0.24,0.52,0.0,-0.8,0.9,0.3
40201,2000-01-23,1,Muenchen,7.0,3.0,8.1,0.92,1.01,0.29,0.24,0.1,-5.5,0.5,-2.8
40202,2000-01-24,1,Muenchen,1.0,1.8,4.9,0.8,1.03,0.91,0.0,8.1,-12.4,-5.5,-10.2
40203,2000-01-25,1,Muenchen,1.0,1.1,4.8,0.82,1.03,0.93,0.0,8.4,-16.4,-5.9,-12.2
40204,2000-01-26,1,Muenchen,0.0,1.2,3.7,0.78,1.04,0.97,0.0,8.8,-15.6,-3.3,-9.2
40205,2000-01-27,1,Muenchen,0.0,2.2,6.9,0.71,1.03,0.99,0.0,9.0,-10.4,2.2,-4.3
40206,2000-01-28,1,Muenchen,4.0,3.9,11.4,0.69,1.02,0.84,0.0,6.0,-9.2,5.2,2.2
