,date,month,city,cloud_cover,wind_speed,wind_gust,humidity,pressure,global_radiation,precipitation,sunshine,temp_min,temp_max,temp_mean
43833,2000-01-01,1,Oslo,7.0,0.9,5.1,0.94,1.01,0.04,0.6,0.0,-8.6,-3.2,-5.0
43834,2000-01-02,1,Oslo,6.0,1.9,5.7,0.94,1.01,0.11,0.0,1.6,-6.7,2.4,-0.8
43835,2000-01-03,1,Oslo,6.0,1.7,8.7,0.88,1.0,0.04,0.0,0.0,-1.1,3.8,1.2
43836,2000-01-04,1,Oslo,1.0,3.4,11.8,0.58,1.0,0.13,0.0,5.3,-0.5,5.1,2.1
43837,2000-01-05,1,Oslo,8.0,1.2,5.7,0.94,1.01,0.05,0.06,0.0,-4.0,0.5,-0.7
43838,2000-01-06,1,Oslo,8.0,7.0,17.0,0.9,1.0,0.05,0.13,0.0,-0.1,6.5,5.3
43839,2000-01-07,1,Oslo,8.0,5.3,15.9,0.76,1.0,0.05,0.0,0.0,0.4,6.0,3.8
43840,2000-01-08,1,Oslo,4.0,6.0,17.5,0.78,0.99,0.18,0.0,4.7,4.3,6.4,5.5
43841,2000-01-09,1,Oslo,1.0,2.9,10.8,0.9,1.01,0.13,0.0,5.6,-0.2,5.0,1.6
43842,2000-01-10,1,Oslo,5.0,1.5,6.2,0.89,1.02,0.11,0.0,2.2,-3.6,2.5,-0.6
43843,2000-01-11,1,Oslo,3.0,0.8,9.8,0.94,1.02,0.09,0.0,2.8,0.4,4.8,1.6
43844,2000-01-12,1,Oslo,8.0,0.7,9.8,0.96,1.01,0.03,0.0,0.0,-0.2,4.7,3.0
43845,2000-01-13,1,Oslo,6.0,1.2,5.7,0.79,1.01,0.03,0.0,0.0,1.0,2.8,1.5
43846,2000-01-14,1,Oslo,5.0,2.7,9.3,0.65,1.03,0.08,0.0,3.1,-2.6,1.7,-0.5
43847,2000-01-15,1,Oslo,4.0,1.4,3.6,0.84,1.03,0.15,0.06,4.0,-6.4,-1.5,-3.7
43848,2000-01-16,1,Oslo,5.0,1.3,5.1,0.96,1.02,0.02,0.0,0.0,-3.2,0.2,-1.8
43849,2000-01-17,1,Oslo,1.0,7.0,18.5,0.41,1.01,0.21,0.0,6.3,-1.0,10.2,7.7
43850,2000-01-18,1,Oslo,0.0,10.6,23.2,0.37,1.01,0.19,0.0,6.2,-1.1,4.7,3.4
43851,2000-01-19,1,Oslo,4.0,2.3,16.5,0.64,1.02,0.07,0.0,2.4,-3.0,3.0,-0.3
43852,2000-01-20,1,Oslo,3.0,2.2,8.2,0.71,1.01,0.07,0.18,2.6,-3.0,5.7,1.3
43853,2000-01-21,1,Oslo,4.0,2.1,10.8,0.62,1.02,0.19,0.46,5.8,-5.6,0.5,-4.1
43854,2000-01-22,1,Oslo,8.0,2.2,7.2,0.92,1.01,0.07,0.32,0.0,-5.8,-3.9,-5.3
43855,2000-01-23,1,Oslo,4.0,2.0,8.7,0.82,1.02,0.21,0.0,2.6,-10.6,-5.2,-7.9
43856,2000-01-24,1,Oslo,8.0,1.2,4.1,0.93,1.02,0.14,0.0,0.7,-12.6,-5.2,-7.4
43857,2000-01-25,1,Oslo,6.0,0.3,3.1,0.93,1.02,0.19,0.0,1.9,-7.0,-1.2,-4.2
43858,2000-01-26,1,Oslo,6.0,0.8,3.6,0.93,1.01,0.08,0.0,0.0,-6.1,-0.5,-3.8
43859,2000-01-27,1,Oslo,8.0,1.3,8.7,0.78,1.0,0.17,0.0,1.2,-4.2,3.4,-0.9
43860,2000-01-28,1,Oslo,6.0,0.8,12.3,0.79,0.99,0.09,0.46,0.0,-4.1,2.5,-2.6
43861,2000-01-30,1,Oslo,3.0,5.2,22.1,0.4,0.99,0.29,0.0,5.5,-2.6,4.2,0.3
43862,2000-01-31,1,Oslo,4.0,3.6,9.3,0.66,1.0,0.29,0.0,6.9,-5.2,-0.6,-3.1
43863,2000-02-01,2,Oslo,6.0,2.2,5.1,0.85,1.0,0.12,0.31,1.9,-7.8,-2.6,-5.2
43864,2000-02-02,2,Oslo,5.0,1.0,5.1,0.94,0.99,0.03,0.0,2.5,-6.4,2.0,-2.9
43865,2000-02-03,2,Oslo,3.0,1.0,8.7,0.7,1.02,0.19,0.0,5.8,-6.8,2.7,-3.1
43866,2000-02-04,2,Oslo,7.0,1.9,12.3,0.89,1.0,0.23,0.0,3.2,-3.8,5.5,3.1
43867,2000-02-05,2,Oslo,7.0,1.0,4.6,0.94,1.01,0.08,0.0,0.0,-0.6,2.9,1.6
43868,2000-02-06,2,Oslo,5.0,1.9,8.7,0.8,1.0,0.4,0.14,4.9,1.5,8.9,4.9
43869,2000-02-07,2,Oslo,7.0,5.8,14.4,0.74,0.99,0.24,0.01,2.4,3.1,7.6,5.6
43870,2000-02-08,2,Oslo,3.0,1.9,9.8,0.82,0.99,0.47,0.0,6.8,-1.1,6.0,0.8
43871,2000-02-09,2,Oslo,4.0,1.5,8.7,0.67,1.0,0.27,0.0,2.7,-1.4,3.8,0.7
43872,2000-02-10,2,Oslo,7.0,5.6,15.4,0.86,0.99,0.13,0.01,0.0,-3.6,5.7,3.8
43873,2000-02-11,2,Oslo,4.0,4.1,15.9,0.6,1.0,0.55,0.0,7.7,1.4,8.5,4.8
43874,2000-02-12,2,Oslo,8.0,5.7,17.0,0.93,1.0,0.14,1.2,0.0,2.1,5.6,3.9
43875,2000-02-13,2,Oslo,4.0,3.9,8.7,0.77,0.99,0.1,0.0,4.6,-0.9,4.0,0.8
43876,2000-02-14,2,Oslo,3.0,2.2,9.3,0.6,1.01,0.63,0.3,7.6,-4.2,3.5,-0.8
43877,2000-02-15,2,Oslo,8.0,1.5,5.7,0.95,1.0,0.03,0.0,0.0,-2.6,0.3,-1.1
43878,2000-02-16,2,Oslo,3.0,2.2,6.2,0.83,1.0,0.5,0.0,6.7,-6.4,1.1,-2.9
43879,2000-02-17,2,Oslo,3.0,0.7,4.6,0.83,1.0,0.66,0.0,8.3,-9.8,-0.3,-5.5
