,date,month,city,cloud_cover,wind_speed,wind_gust,humidity,pressure,global_radiation,precipitation,sunshine,temp_min,temp_max,temp_mean
47462,2000-01-01,1,Perpignan,5.13,4.4,10.06,0.71,1.03,0.6,0.0,5.01,10.3,14.0,12.2
47463,2000-01-02,1,Perpignan,5.13,2.9,10.06,0.67,1.03,0.96,0.0,5.01,5.1,14.6,9.8
47464,2000-01-03,1,Perpignan,5.13,2.5,10.06,0.85,1.03,0.93,0.0,5.01,4.1,13.2,8.6
47465,2000-01-04,1,Perpignan,5.13,1.5,10.06,0.85,1.03,0.56,0.02,5.01,4.3,12.8,8.6
47466,2000-01-05,1,Perpignan,5.13,2.6,10.06,0.74,1.02,0.83,0.02,5.01,3.6,14.9,9.2
47467,2000-01-06,1,Perpignan,5.13,2.9,10.06,0.85,1.02,0.86,0.0,5.01,1.8,13.0,7.4
47468,2000-01-07,1,Perpignan,5.13,3.8,10.06,0.56,1.02,0.98,0.0,5.01,3.0,16.8,9.9
47469,2000-01-08,1,Perpignan,5.13,0.9,10.06,0.83,1.02,0.45,0.02,5.01,5.9,12.3,9.1
47470,2000-01-09,1,Perpignan,5.13,4.2,10.06,0.84,1.02,0.22,0.5,5.01,7.7,10.2,9.0
47471,2000-01-10,1,Perpignan,5.13,6.5,10.06,0.58,1.03,0.75,0.0,5.01,7.3,11.2,9.2
47472,2000-01-11,1,Perpignan,5.13,3.1,10.06,0.63,1.03,1.01,0.0,5.01,2.6,10.8,6.7
47473,2000-01-12,1,Perpignan,5.13,1.5,10.06,0.82,1.03,1.0,0.0,5.01,-2.5,8.8,3.2
47474,2000-01-13,1,Perpignan,5.13,1.8,10.06,0.9,1.02,0.4,0.02,5.01,-3.6,7.7,2.0
47475,2000-01-14,1,Perpignan,5.13,2.9,10.06,0.84,1.02,0.82,1.58,5.01,-2.3,12.3,5.0
47476,2000-01-15,1,Perpignan,5.13,3.0,10.06,0.94,1.02,0.31,0.86,5.01,6.7,9.8,8.2
47477,2000-01-16,1,Perpignan,5.13,1.6,10.06,0.85,1.03,0.97,0.0,5.01,4.2,11.2,7.7
47478,2000-01-17,1,Perpignan,5.13,8.5,10.06,0.55,1.03,1.06,0.0,5.01,3.9,11.9,7.9
47479,2000-01-18,1,Perpignan,5.13,13.4,10.06,0.53,1.02,1.14,0.0,5.01,6.5,12.0,9.2
47480,2000-01-19,1,Perpignan,5.13,10.9,10.06,0.54,1.02,1.12,0.0,5.01,5.3,10.7,8.0
