,date,month,city,cloud_cover,wind_speed,wind_gust,humidity,pressure,global_radiation,precipitation,sunshine,temp_min,temp_max,temp_mean
51116,2000-01-01,1,Roma,0.0,3.33,10.06,0.72,1.02,0.92,0.23,8.4,3.0,8.0,1.6
51117,2000-01-02,1,Roma,2.0,3.33,10.06,0.74,1.03,0.81,0.23,6.5,0.0,8.4,4.2
51118,2000-01-03,1,Roma,0.0,3.33,10.06,0.77,1.03,0.89,0.23,0.0,11.1,21.1,3.8
51119,2000-01-04,1,Roma,1.0,3.33,10.06,0.85,1.03,0.89,0.23,8.2,2.0,10.0,6.0
51120,2000-01-05,1,Roma,2.0,3.33,10.06,0.92,1.02,0.74,0.23,7.5,-1.2,11.2,5.0
51121,2000-01-06,1,Roma,0.0,3.33,10.06,0.89,1.02,0.86,0.23,8.0,0.0,10.8,5.4
51122,2000-01-07,1,Roma,3.0,3.33,10.06,0.89,1.02,0.87,0.23,6.8,2.2,11.2,6.7
51123,2000-01-08,1,Roma,5.0,3.33,10.06,0.9,1.02,0.62,0.23,3.0,0.8,11.6,6.2
51124,2000-01-09,1,Roma,7.0,3.33,10.06,0.88,1.02,0.26,0.23,0.0,4.2,9.8,7.0
51125,2000-01-10,1,Roma,5.0,3.33,10.06,0.85,1.03,0.81,0.23,6.3,3.8,13.2,8.5
51126,2000-01-11,1,Roma,3.0,3.33,10.06,0.89,1.03,0.75,0.23,6.2,2.0,10.0,6.0
51127,2000-01-12,1,Roma,7.0,3.33,10.06,0.92,1.03,0.27,0.23,1.0,11.1,21.1,5.5
51128,2000-01-13,1,Roma,7.0,3.33,10.06,0.93,1.02,0.25,0.23,1.5,11.1,21.1,6.4
51129,2000-01-14,1,Roma,7.0,3.33,10.06,0.77,1.02,0.27,0.23,0.2,11.1,21.1,9.4
51130,2000-01-15,1,Roma,7.0,3.33,10.06,0.8,1.02,0.71,0.23,4.0,4.6,12.4,8.5
51131,2000-01-16,1,Roma,4.0,3.33,10.06,0.86,1.02,0.88,0.23,6.2,1.8,10.8,6.3
51132,2000-01-17,1,Roma,4.0,3.33,10.06,0.71,1.02,0.97,0.23,7.4,11.1,21.1,4.5
51133,2000-01-18,1,Roma,3.0,3.33,10.06,0.87,1.01,0.88,0.23,6.7,0.8,11.8,6.3
51134,2000-01-19,1,Roma,1.0,3.33,10.06,0.55,1.01,1.08,0.23,8.6,0.2,11.4,5.8
51135,2000-01-20,1,Roma,1.0,3.33,10.06,0.58,1.03,1.01,0.23,8.8,3.0,10.4,2.7
51136,2000-01-21,1,Roma,6.0,3.33,10.06,0.92,1.02,0.33,0.23,1.0,11.1,21.1,6.7
51137,2000-01-22,1,Roma,4.0,3.33,10.06,0.93,1.01,0.36,0.23,1.2,11.1,21.1,4.9
51138,2000-01-23,1,Roma,6.0,3.33,10.06,0.85,1.0,0.48,0.23,3.0,11.1,21.1,5.5
51139,2000-01-24,1,Roma,1.0,3.33,10.06,0.7,1.01,1.07,0.23,8.4,1.2,8.0,4.6
51140,2000-01-25,1,Roma,2.0,3.33,10.06,0.64,1.02,1.01,0.23,7.8,3.8,6.0,0.7
51141,2000-01-26,1,Roma,5.0,3.33,10.06,0.82,1.03,0.56,0.23,3.0,4.0,5.8,0.5
51142,2000-01-27,1,Roma,0.0,3.33,10.06,0.8,1.03,1.11,0.23,8.9,3.6,8.0,1.2
