,date,month,city,cloud_cover,wind_speed,wind_gust,humidity,pressure,global_radiation,precipitation,sunshine,temp_min,temp_max,temp_mean
54770,2000-01-01,1,Sonnblick,7.0,3.33,10.06,0.89,1.02,0.82,1.34,0.0,-17.0,-13.4,-15.2
54771,2000-01-02,1,Sonnblick,5.0,3.33,10.06,0.86,1.02,0.6,0.39,2.8,-15.0,-12.3,-13.7
54772,2000-01-03,1,Sonnblick,3.0,3.33,10.06,0.41,1.02,0.81,0.0,5.1,-12.5,-5.8,-9.2
54773,2000-01-04,1,Sonnblick,1.0,3.33,10.06,0.25,1.02,1.05,0.11,8.7,-7.0,-4.2,-5.6
54774,2000-01-05,1,Sonnblick,4.0,3.33,10.06,0.77,1.02,0.69,0.17,3.4,-9.4,-5.8,-7.6
54775,2000-01-06,1,Sonnblick,0.0,3.33,10.06,0.45,1.02,0.89,0.0,8.7,-9.4,-3.8,-6.6
54776,2000-01-07,1,Sonnblick,2.0,3.33,10.06,0.36,1.02,0.87,0.0,8.4,-9.2,-6.5,-7.9
54777,2000-01-08,1,Sonnblick,0.0,3.33,10.06,0.53,1.02,0.91,0.0,8.8,-9.6,-7.4,-8.5
54778,2000-01-09,1,Sonnblick,4.0,3.33,10.06,0.59,1.02,0.75,0.2,5.2,-11.9,-9.2,-10.6
54779,2000-01-10,1,Sonnblick,8.0,3.33,10.06,0.97,1.02,0.25,0.38,0.0,-15.0,-11.6,-13.3
54780,2000-01-11,1,Sonnblick,3.0,3.33,10.06,0.83,1.02,0.91,0.0,5.8,-15.1,-13.4,-14.3
54781,2000-01-12,1,Sonnblick,1.0,3.33,10.06,0.38,1.02,0.95,0.0,9.0,-14.8,-11.2,-13.0
54782,2000-01-13,1,Sonnblick,0.0,3.33,10.06,0.19,1.02,0.86,0.0,9.0,-13.0,-10.2,-11.6
54783,2000-01-14,1,Sonnblick,1.0,3.33,10.06,0.65,1.02,0.95,0.0,8.9,-13.2,-9.9,-11.6
