,date,month,city,cloud_cover,wind_speed,wind_gust,humidity,pressure,global_radiation,precipitation,sunshine,temp_min,temp_max,temp_mean
58424,2000-01-01,1,Stockholm,8.0,3.33,10.06,0.75,1.02,1.37,0.17,0.0,-9.3,0.7,-2.3
58425,2000-01-02,1,Stockholm,8.0,3.33,10.06,0.75,1.01,1.37,0.2,0.0,0.5,2.0,1.3
58426,2000-01-03,1,Stockholm,7.0,3.33,10.06,0.75,1.01,1.37,0.08,1.8,-1.0,2.8,0.8
58427,2000-01-04,1,Stockholm,2.0,3.33,10.06,0.75,0.99,1.37,0.0,5.0,2.5,4.6,3.5
58428,2000-01-05,1,Stockholm,5.0,3.33,10.06,0.75,1.01,1.37,0.0,2.2,-1.8,2.9,-0.6
58429,2000-01-06,1,Stockholm,6.0,3.33,10.06,0.75,1.01,1.37,0.0,1.7,-0.6,4.0,2.5
58430,2000-01-07,1,Stockholm,6.0,3.33,10.06,0.75,1.01,1.37,0.0,3.9,1.7,4.1,2.9
58431,2000-01-08,1,Stockholm,4.0,3.33,10.06,0.75,1.0,1.37,0.0,0.9,3.5,6.4,5.1
58432,2000-01-09,1,Stockholm,2.0,3.33,10.06,0.75,1.01,1.37,0.0,1.8,3.3,5.1,3.9
58433,2000-01-10,1,Stockholm,3.0,3.33,10.06,0.75,1.02,1.37,0.0,5.3,0.0,5.5,1.2
58434,2000-01-11,1,Stockholm,5.0,3.33,10.06,0.75,1.02,1.37,0.17,0.0,0.3,5.5,3.9
58435,2000-01-12,1,Stockholm,8.0,3.33,10.06,0.75,1.01,1.37,0.37,0.0,3.2,5.2,4.4
58436,2000-01-13,1,Stockholm,8.0,3.33,10.06,0.75,1.01,1.37,0.03,0.0,2.4,5.1,3.5
58437,2000-01-14,1,Stockholm,8.0,3.33,10.06,0.75,1.03,1.37,0.0,0.0,-1.1,3.6,-0.2
58438,2000-01-15,1,Stockholm,4.0,3.33,10.06,0.75,1.02,1.37,0.0,4.4,-3.5,0.0,-1.7
58439,2000-01-16,1,Stockholm,5.0,3.33,10.06,0.75,1.01,1.37,0.0,0.2,-1.7,3.9,1.2
58440,2000-01-17,1,Stockholm,3.0,3.33,10.06,0.75,0.99,1.37,0.0,2.8,2.9,4.3,3.7
58441,2000-01-18,1,Stockholm,6.0,3.33,10.06,0.75,1.0,1.37,0.03,0.6,-2.2,3.2,-0.2
58442,2000-01-19,1,Stockholm,4.0,3.33,10.06,0.75,1.01,1.37,0.02,5.2,-4.4,-0.3,-1.4
58443,2000-01-20,1,Stockholm,4.0,3.33,10.06,0.75,1.0,1.37,0.0,3.9,-3.0,2.2,-0.3
58444,2000-01-21,1,Stockholm,4.0,3.33,10.06,0.75,1.01,1.37,0.44,1.7,-8.3,-3.0,-6.8
58445,2000-01-22,1,Stockholm,2.0,3.33,10.06,0.75,1.01,1.37,0.07,6.0,-13.0,-8.3,-10.1
58446,2000-01-23,1,Stockholm,1.0,3.33,10.06,0.75,1.02,1.37,0.0,6.6,-12.1,-7.5,-9.9
58447,2000-01-25,1,Stockholm,6.0,3.33,10.06,0.75,1.01,1.37,0.0,0.0,-7.6,-1.0,-3.8
58448,2000-01-26,1,Stockholm,2.0,3.33,10.06,0.75,1.01,1.37,0.0,5.6,-3.2,4.1,0.1
58449,2000-01-27,1,Stockholm,7.0,3.33,10.06,0.75,1.0,1.37,0.11,0.0,0.0,2.6,1.0
58450,2000-01-28,1,Stockholm,1.0,3.33,10.06,0.75,1.0,1.37,0.0,1.8,-3.0,2.5,-1.4
58451,2000-01-31,1,Stockholm,5.0,3.33,10.06,0.75,1.0,1.37,0.0,4.4,-4.8,-0.5,-3.4
58452,2000-02-01,2,Stockholm,4.0,3.33,10.06,0.75,1.0,1.37,0.08,4.8,-4.6,-1.4,-2.8
58453,2000-02-02,2,Stockholm,7.0,3.33,10.06,0.75,0.99,1.37,0.02,0.7,-1.9,1.3,-0.8
58454,2000-02-03,2,Stockholm,1.0,3.33,10.06,0.75,1.01,1.37,0.0,7.6,-7.0,-1.2,-3.9
58455,2000-02-04,2,Stockholm,7.0,3.33,10.06,0.75,1.0,1.37,0.0,0.0,-1.5,5.1,2.9
58456,2000-02-05,2,Stockholm,7.0,3.33,10.06,0.75,1.01,1.37,0.0,3.2,0.5,5.0,2.0
58457,2000-02-06,2,Stockholm,5.0,3.33,10.06,0.75,1.0,1.37,0.0,2.3,2.2,7.5,5.7
58458,2000-02-07,2,Stockholm,7.0,3.33,10.06,0.75,0.99,1.37,0.28,0.6,1.5,5.7,4.0
58459,2000-02-08,2,Stockholm,4.0,3.33,10.06,0.75,0.99,1.37,0.0,1.8,1.5,4.8,2.7
58460,2000-02-09,2,Stockholm,5.0,3.33,10.06,0.75,0.99,1.37,0.0,0.1,-3.4,1.6,-0.7
58461,2000-02-10,2,Stockholm,6.0,3.33,10.06,0.75,1.0,1.37,0.0,3.5,-3.0,3.8,0.7
58462,2000-02-11,2,Stockholm,2.0,3.33,10.06,0.75,1.0,1.37,0.0,6.2,2.6,6.3,4.3
58463,2000-02-12,2,Stockholm,7.0,3.33,10.06,0.75,1.01,1.37,0.03,5.8,3.2,5.7,4.6
58464,2000-02-13,2,Stockholm,7.0,3.33,10.06,0.75,1.0,1.37,0.0,3.0,1.5,4.4,2.7
58465,2000-02-14,2,Stockholm,2.0,3.33,10.06,0.75,1.0,1.37,0.0,6.6,-2.0,2.7,-0.1
58466,2000-02-15,2,Stockholm,7.0,3.33,10.06,0.75,1.0,1.37,0.1,0.0,-2.5,1.5,0.2
58467,2000-02-16,2,Stockholm,8.0,3.33,10.06,0.75,1.0,1.37,0.01,0.0,-1.5,1.5,-0.3
58468,2000-02-17,2,Stockholm,3.0,3.33,10.06,0.75,1.0,1.37,0.0,6.2,-2.0,1.0,-1.0
58469,2000-02-18,2,Stockholm,5.0,3.33,10.06,0.75,1.01,1.37,0.0,4.8,-5.1,0.8,-2.6
58470,2000-02-19,2,Stockholm,7.0,3.33,10.06,0.75,1.01,1.37,0.0,0.0,-5.0,-0.8,-2.9
58471,2000-02-20,2,Stockholm,1.0,3.33,10.06,0.75,1.02,1.37,0.0,9.1,-5.6,-0.6,-2.8
58472,2000-02-21,2,Stockholm,0.0,3.33,10.06,0.75,1.02,1.37,0.0,9.4,-6.9,-0.7,-3.6
58473,2000-02-22,2,Stockholm,5.0,3.33,10.06,0.75,1.02,1.37,0.0,0.0,-5.1,-1.0,-2.5
58474,2000-02-23,2,Stockholm,7.0,3.33,10.06,0.75,1.03,1.37,0.0,1.1,-4.5,-0.4,-2.1
58475,2000-02-24,2,Stockholm,8.0,3.33,10.06,0.75,1.01,1.37,0.48,0.0,-1.5,0.3,-0.4
58476,2000-02-25,2,Stockholm,4.0,3.33,10.06,0.75,1.0,1.37,0.01,6.0,-3.2,1.6,-0.7
58477,2000-02-26,2,Stockholm,4.0,3.33,10.06,0.75,1.02,1.37,0.0,6.0,-5.0,1.9,-1.1
58478,2000-02-27,2,Stockholm,6.0,3.33,10.06,0.75,1.01,1.37,0.0,1.4,0.5,4.5,3.4
58479,2000-02-28,2,Stockholm,6.0,3.33,10.06,0.75,1.0,1.37,0.03,0.0,3.5,5.7,4.5
58480,2000-02-29,2,Stockholm,6.0,3.33,10.06,0.75,1.0,1.37,0.0,1.0,2.8,6.6,4.7
58481,2000-03-01,3,Stockholm,8.0,3.33,10.06,0.75,0.98,1.37,0.42,0.0,1.2,4.7,2.6
58482,2000-03-02,3,Stockholm,4.0,3.33,10.06,0.75,1.0,1.37,0.3,7.5,-0.2,3.1,1.0
58483,2000-03-04,3,Stockholm,5.0,3.33,10.06,0.75,0.99,1.37,0.0,7.4,-5.4,2.2,-2.6
58484,2000-03-05,3,Stockholm,4.0,3.33,10.06,0.75,1.01,1.37,0.0,8.4,-4.1,-0.5,-3.5
58485,2000-03-06,3,Stockholm,8.0,3.33,10.06,0.75,1.0,1.37,0.66,0.0,-5.9,6.0,1.4
58486,2000-03-07,3,Stockholm,1.0,3.33,10.06,0.75,0.99,1.37,0.0,10.6,2.5,7.2,4.6
58487,2000-03-08,3,Stockholm,6.0,3.33,10.06,0.75,1.0,1.37,0.18,5.0,-1.4,4.8,0.5
58488,2000-03-09,3,Stockholm,3.0,3.33,10.06,0.75,1.0,1.37,0.0,5.6,-2.3,1.5,-0.2
58489,2000-03-10,3,Stockholm,4.0,3.33,10.06,0.75,1.01,1.37,0.0,9.2,-2.0,3.0,1.7
