,date,month,city,cloud_cover,wind_speed,wind_gust,humidity,pressure,global_radiation,precipitation,sunshine,temp_min,temp_max,temp_mean
62054,2000-01-01,1,Tours,5.13,1.6,10.06,0.97,1.03,0.25,0.04,5.01,7.2,9.8,8.5
62055,2000-01-02,1,Tours,5.13,2.0,10.06,0.99,1.03,0.17,0.16,5.01,6.6,9.2,7.9
62056,2000-01-03,1,Tours,5.13,3.4,10.06,0.91,1.03,0.27,0.0,5.01,6.6,9.6,8.1
62057,2000-01-04,1,Tours,5.13,4.9,10.06,0.95,1.02,0.11,0.44,5.01,6.4,10.8,8.6
62058,2000-01-05,1,Tours,5.13,3.6,10.06,0.95,1.02,0.39,0.04,5.01,6.4,9.5,8.0
62059,2000-01-06,1,Tours,5.13,3.4,10.06,0.92,1.02,0.55,0.2,5.01,3.5,10.7,7.1
62060,2000-01-07,1,Tours,5.13,2.8,10.06,0.96,1.03,0.27,0.0,5.01,3.3,8.8,6.0
62061,2000-01-08,1,Tours,5.13,3.6,10.06,0.97,1.02,0.18,0.14,5.01,5.3,11.0,8.2
62062,2000-01-09,1,Tours,5.13,3.0,10.06,0.91,1.03,0.43,0.02,5.01,3.7,7.6,5.6
62063,2000-01-10,1,Tours,5.13,1.9,10.06,0.94,1.04,0.58,0.04,5.01,-1.5,5.0,1.8
62064,2000-01-11,1,Tours,5.13,1.8,10.06,0.98,1.04,0.2,0.0,5.01,-2.0,-0.8,-1.4
62065,2000-01-12,1,Tours,5.13,2.4,10.06,0.95,1.03,0.19,0.0,5.01,-2.7,2.0,-0.4
62066,2000-01-13,1,Tours,5.13,3.1,10.06,0.92,1.02,0.21,0.08,5.01,-0.6,3.6,1.5
62067,2000-01-14,1,Tours,5.13,4.9,10.06,0.92,1.02,0.52,0.0,5.01,1.0,6.1,3.6
62068,2000-01-15,1,Tours,5.13,6.8,10.06,0.88,1.03,0.72,0.0,5.01,1.1,5.9,3.5
62069,2000-01-16,1,Tours,5.13,6.1,10.06,0.83,1.03,0.65,0.0,5.01,0.0,2.7,1.4
62070,2000-01-17,1,Tours,5.13,3.6,10.06,0.9,1.04,0.35,0.0,5.01,0.8,6.3,3.6
62071,2000-01-18,1,Tours,5.13,3.5,10.06,0.87,1.03,0.14,0.0,5.01,0.9,7.4,4.2
62072,2000-01-19,1,Tours,5.13,4.0,10.06,0.81,1.03,0.36,0.0,5.01,2.2,6.0,4.1
62073,2000-01-20,1,Tours,5.13,2.0,10.06,0.78,1.03,0.29,0.0,5.01,2.2,4.9,3.6
62074,2000-01-21,1,Tours,5.13,2.0,10.06,0.8,1.03,0.25,0.0,5.01,2.7,5.8,4.2
62075,2000-01-22,1,Tours,5.13,4.6,10.06,0.87,1.02,0.31,0.08,5.01,0.7,6.4,3.6
62076,2000-01-23,1,Tours,5.13,3.5,10.06,0.88,1.02,0.35,0.0,5.01,0.1,4.9,2.5
62077,2000-01-24,1,Tours,5.13,2.6,10.06,0.87,1.02,0.36,0.0,5.01,-0.9,2.9,1.0
62078,2000-01-25,1,Tours,5.13,4.9,10.06,0.7,1.03,0.92,0.0,5.01,-4.5,0.4,-2.0
62079,2000-01-26,1,Tours,5.13,4.1,10.06,0.7,1.03,0.92,0.0,5.01,-5.3,1.7,-1.8
62080,2000-01-27,1,Tours,5.13,1.6,10.06,0.81,1.03,0.86,0.02,5.01,-5.6,5.8,0.1
62081,2000-01-28,1,Tours,5.13,3.8,10.06,0.87,1.02,0.82,0.0,5.01,-1.9,7.4,2.8
62082,2000-01-29,1,Tours,5.13,7.8,10.06,0.92,1.02,0.1,0.1,5.01,4.3,10.4,7.4
62083,2000-01-30,1,Tours,5.13,7.0,10.06,0.88,1.03,0.42,0.02,5.01,9.3,12.7,11.0
62084,2000-01-31,1,Tours,5.13,3.6,10.06,0.92,1.03,0.23,0.0,5.01,8.5,10.1,9.3
62085,2000-02-01,2,Tours,5.13,2.6,10.06,0.96,1.02,0.2,0.84,5.01,6.6,7.7,7.2
62086,2000-02-02,2,Tours,5.13,3.6,10.06,0.94,1.02,0.13,0.26,5.01,5.9,10.4,8.2
62087,2000-02-03,2,Tours,5.13,1.2,10.06,0.87,1.04,0.59,0.0,5.01,-0.8,8.0,3.6
62088,2000-02-04,2,Tours,5.13,2.0,10.06,0.86,1.04,0.99,0.02,5.01,0.0,10.6,5.3
62089,2000-02-05,2,Tours,5.13,2.8,10.06,0.77,1.03,0.95,0.0,5.01,0.7,15.9,8.3
62090,2000-02-06,2,Tours,5.13,4.6,10.06,0.94,1.02,0.28,0.18,5.01,4.4,9.7,7.0
62091,2000-02-07,2,Tours,5.13,6.5,10.06,0.94,1.02,0.27,0.48,5.01,5.5,11.4,8.4
62092,2000-02-08,2,Tours,5.13,7.4,10.06,0.89,1.02,0.14,1.06,5.01,10.3,12.3,11.3
62093,2000-02-09,2,Tours,5.13,3.6,10.06,0.81,1.03,1.07,0.02,5.01,4.5,11.4,8.0
62094,2000-02-10,2,Tours,5.13,4.6,10.06,0.91,1.02,0.38,0.5,5.01,1.7,10.4,6.0
62095,2000-02-11,2,Tours,5.13,2.1,10.06,0.83,1.03,1.21,0.02,5.01,-0.6,8.7,4.0
62096,2000-02-12,2,Tours,5.13,5.1,10.06,0.87,1.03,0.91,0.44,5.01,-1.8,8.8,3.5
62097,2000-02-13,2,Tours,5.13,4.8,10.06,0.97,1.02,0.34,0.38,5.01,6.4,9.3,7.8
62098,2000-02-14,2,Tours,5.13,3.4,10.06,0.98,1.02,0.36,0.24,5.01,6.5,11.1,8.8
62099,2000-02-15,2,Tours,5.13,5.1,10.06,0.91,1.02,0.28,1.2,5.01,8.5,10.5,9.5
62100,2000-02-16,2,Tours,5.13,6.9,10.06,0.8,1.01,0.62,0.1,5.01,3.0,7.9,5.4
62101,2000-02-17,2,Tours,5.13,5.4,10.06,0.76,1.02,1.15,0.12,5.01,2.7,10.4,6.6
62102,2000-02-18,2,Tours,5.13,8.1,10.06,0.87,1.01,0.38,0.1,5.01,5.5,12.6,9.0
62103,2000-02-19,2,Tours,5.13,4.9,10.06,0.86,1.02,0.73,0.52,5.01,6.2,9.7,8.0
62104,2000-02-20,2,Tours,5.13,1.5,10.06,0.8,1.03,1.43,0.0,5.01,-0.8,9.1,4.2
62105,2000-02-21,2,Tours,5.13,0.9,10.06,0.76,1.03,1.16,0.0,5.01,-1.6,9.3,3.8
62106,2000-02-22,2,Tours,5.13,1.8,10.06,0.72,1.03,1.16,0.0,5.01,-0.6,11.4,5.4
62107,2000-02-23,2,Tours,5.13,3.0,10.06,0.85,1.03,0.49,0.0,5.01,4.4,9.3,6.8
62108,2000-02-24,2,Tours,5.13,4.5,10.06,0.93,1.03,0.5,0.04,5.01,8.5,12.5,10.5
62109,2000-02-25,2,Tours,5.13,4.1,10.06,0.91,1.03,0.34,0.0,5.01,7.8,9.9,8.8
62110,2000-02-26,2,Tours,5.13,1.8,10.06,0.93,1.03,0.39,0.02,5.01,6.1,9.3,7.7
62111,2000-02-27,2,Tours,5.13,3.9,10.06,0.83,1.02,1.39,0.0,5.01,2.9,18.8,10.8
