,DATE,MONTH,cloud_cover,wind_speed,wind_gust,humidity,pressure,global_radiation,precipitation,sunshine,temp_mean,temp_min,temp_max
0,20000101,1,8,2.5,5.9,0.92,1.024,0.12,0.22,0.0,4.2,2.5,6.9
1,20000102,1,6,3.0,7.4,0.87,1.0283,0.19,0.0,0.7,6.5,2.7,7.9
2,20000103,1,7,5.5,14.3,0.78,1.0235,0.12,0.28,0.0,7.7,6.9,9.1
3,20000104,1,7,6.0,16.8,0.87,1.0162,0.12,0.97,0.0,7.8,6.6,9.2
4,20000105,1,4,4.5,11.2,0.8,1.0203,0.51,0.0,6.5,5.2,0.4,8.6
5,20000106,1,6,5.5,12.3,0.83,1.0174,0.34,0.18,2.8,7.6,4.3,10.4
6,20000107,1,6,4.5,9.4,0.79,1.0219,0.32,0.0,2.5,6.6,4.7,8.7
7,20000108,1,8,4.7,9.5,0.85,1.0192,0.12,0.12,0.0,6.6,5.4,7.9
8,20000109,1,6,1.2,5.2,0.94,1.0251,0.12,0.0,0.0,2.5,0.5,6.8
9,20000110,1,8,1.3,4.3,0.96,1.0359,0.13,0.0,0.0,1.1,0.4,2.4
10,20000111,1,3,4.4,9.3,0.86,1.0376,0.49,0.0,5.4,0.7,-0.5,2.9
11,20000112,1,4,5.5,10.7,0.79,1.0304,0.52,0.0,6.0,2.1,-0.9,4.6
12,20000113,1,6,4.3,9.1,0.73,1.0195,0.13,0.02,0.0,1.3,-0.7,3.5
13,20000114,1,8,2.2,5.4,0.85,1.0214,0.13,0.0,0.0,3.3,-1.0,4.8
14,20000115,1,7,2.5,10.1,0.77,1.0334,0.21,0.0,0.6,2.5,1.1,4.2
15,20000116,1,8,2.6,8.4,0.93,1.0353,0.14,0.23,0.0,4.2,0.7,5.7
16,20000117,1,8,5.0,10.3,0.9,1.0294,0.14,0.13,0.0,6.2,5.1,7.0
17,20000118,1,6,7.0,16.2,0.78,1.0245,0.18,0.1,0.2,5.9,4.9,8.1
18,20000119,1,7,4.3,8.8,0.79,1.0302,0.14,0.02,0.0,4.1,3.7,5.1
19,20000120,1,7,4.6,12.1,0.87,1.0298,0.17,0.08,0.1,4.0,1.6,5.0
20,20000121,1,7,5.6,13.7,0.79,1.0248,0.23,0.08,0.6,4.6,3.5,7.2
21,20000122,1,7,5.3,12.5,0.86,1.0118,0.19,0.52,0.2,4.1,2.6,5.4
22,20000123,1,6,4.0,9.7,0.83,1.0167,0.15,0.08,0.0,-0.8,-3.4,4.0
23,20000124,1,3,2.0,6.2,0.66,1.0254,0.71,0.0,8.1,-2.6,-7.3,1.0
24,20000125,1,5,2.6,5.2,0.66,1.0292,0.6,0.0,5.7,-1.1,-3.9,2.1
25,20000126,1,7,3.5,6.4,0.72,1.0323,0.16,0.0,0.0,1.4,-2.5,2.8
26,20000127,1,3,4.8,9.4,0.69,1.029,0.61,0.0,5.6,0.2,-2.7,4.5
27,20000128,1,6,6.8,14.2,0.69,1.0175,0.19,0.36,0.1,2.5,-3.0,4.2
28,20000129,1,8,10.6,19.6,0.89,0.9998,0.17,1.64,0.0,8.3,4.0,10.3
29,20000130,1,7,6.9,21.4,0.81,1.0108,0.17,0.25,0.0,9.4,6.5,10.6
30,20000131,1,8,8.4,20.8,0.81,1.0199,0.17,0.05,0.0,9.9,9.1,11.0
31,20000201,2,7,6.3,12.3,0.75,1.0189,0.18,0.03,0.0,8.8,7.3,10.0
32,20000202,2,5,5.1,10.7,0.84,1.0172,0.41,0.14,2.0,6.4,4.5,9.1
33,20000203,2,6,4.4,9.4,0.81,1.0311,0.26,0.0,0.4,6.2,4.2,7.8
34,20000204,2,8,6.3,12.4,0.82,1.0332,0.19,0.31,0.0,7.2,4.9,8.8
35,20000205,2,1,4.7,8.8,0.62,1.0296,0.78,0.0,7.1,9.2,5.3,13.3
36,20000206,2,7,5.2,10.6,0.67,1.0209,0.46,0.27,2.3,9.2,6.3,11.0
37,20000207,2,8,7.9,16.0,0.78,1.0138,0.41,0.1,1.7,8.1,6.8,10.3
38,20000208,2,7,8.1,22.4,0.78,1.0057,0.2,1.03,0.0,9.6,7.6,12.2
39,20000209,2,4,7.1,18.2,0.72,1.0186,0.2,0.01,0.0,5.4,2.1,9.5
40,20000210,2,7,6.6,14.9,0.72,1.0191,0.54,1.0,2.9,6.0,2.1,9.8
41,20000211,2,1,3.5,7.8,0.77,1.0276,0.94,0.0,8.5,3.0,-1.4,8.0
42,20000212,2,4,6.5,18.0,0.77,1.0218,0.69,0.25,4.6,3.6,-0.3,8.9
43,20000213,2,4,5.4,11.7,0.74,1.0176,0.73,0.0,4.9,4.9,2.8,9.2
44,20000214,2,4,4.0,9.7,0.79,1.0215,0.82,0.53,6.0,4.8,-1.4,8.4
45,20000215,2,7,3.9,9.7,0.83,1.0134,0.26,0.53,0.1,6.9,4.8,8.5
46,20000216,2,6,6.7,18.3,0.83,1.0014,0.69,0.3,4.0,2.2,-0.4,5.9
47,20000217,2,4,5.0,14.0,0.88,1.007,0.39,0.91,0.9,1.7,0.3,5.0
48,20000218,2,8,5.2,13.8,0.93,1.0041,0.24,0.87,0.0,3.7,0.3,6.7
49,20000219,2,8,5.8,14.5,0.82,1.0065,0.32,0.25,0.3,4.6,3.3,7.2
50,20000220,2,3,3.5,13.1,0.78,1.026,0.61,0.0,2.7,1.7,-0.4,7.0
51,20000221,2,7,2.8,6.5,0.82,1.029,0.46,0.0,1.2,3.0,-4.1,5.2
52,20000222,2,5,2.3,6.7,0.83,1.0254,0.38,0.0,0.6,2.8,1.0,7.1
53,20000223,2,4,3.2,7.0,0.75,1.0245,0.87,0.53,5.3,6.6,1.0,9.9
54,20000224,2,8,4.6,10.3,0.89,1.0217,0.26,2.02,0.0,6.3,5.4,10.0
55,20000225,2,4,4.1,16.1,0.78,1.0238,0.79,0.07,4.1,3.8,1.8,11.6
56,20000226,2,3,2.5,5.7,0.74,1.0317,1.15,0.0,8.3,2.4,-1.0,8.6
57,20000227,2,5,6.4,13.4,0.68,1.0241,1.17,0.0,8.4,8.1,-0.3,12.5
58,20000228,2,5,7.4,17.0,0.77,1.0134,0.37,0.76,0.3,8.3,5.7,13.2
59,20000229,2,6,7.7,16.7,0.75,1.0084,0.5,0.55,1.1,7.5,4.4,9.1
60,20000301,3,7,5.1,14.0,0.84,1.0036,0.5,0.7,0.8,4.9,4.0,8.9
61,20000302,3,6,7.1,16.4,0.77,1.018,0.9,0.27,3.9,4.7,0.7,7.4
62,20000303,3,7,8.3,21.2,0.86,1.0051,0.33,0.83,0.0,5.4,3.6,9.5
63,20000304,3,4,5.9,19.4,0.85,1.0197,0.95,0.05,4.1,1.2,0.4,4.9
64,20000305,3,5,3.7,8.9,0.85,1.0314,0.38,0.03,0.1,2.6,-1.2,5.4
65,20000306,3,7,6.2,12.2,0.65,1.0283,0.66,0.0,1.6,7.0,1.6,9.5
66,20000307,3,8,7.0,14.2,0.83,1.0228,0.47,0.32,0.4,8.4,6.8,11.7
67,20000308,3,8,7.8,14.9,0.9,1.0195,0.36,0.9,0.0,11.0,7.9,12.2
68,20000309,3,8,7.7,18.9,0.84,1.0203,0.36,0.24,0.0,10.3,9.0,12.7
69,20000310,3,6,3.9,10.9,0.79,1.0253,0.77,0.2,2.1,8.0,4.2,9.4
70,20000311,3,7,6.3,13.5,0.79,1.0177,0.42,0.02,0.1,8.7,7.8,10.7
71,20000312,3,7,2.6,6.5,0.77,1.0259,0.5,0.0,0.4,7.4,6.2,9.1
72,20000313,3,8,3.7,8.4,0.78,1.025,0.65,0.04,1.1,9.0,5.4,12.6
73,20000314,3,7,5.5,16.1,0.82,1.0197,0.39,0.33,0.0,8.3,6.0,11.0
74,20000315,3,7,5.9,13.6,0.72,1.0282,0.96,0.06,3.1,5.0,1.8,8.0
75,20000316,3,8,5.4,10.7,0.88,1.0285,0.4,0.06,0.0,8.2,5.3,9.4
76,20000317,3,8,5.4,12.4,0.83,1.0281,0.41,0.09,0.0,8.1,6.4,10.3
77,20000318,3,7,4.7,11.4,0.86,1.028,0.41,0.16,0.0,6.0,5.0,8.1
78,20000319,3,7,1.9,7.4,0.85,1.0327,0.86,0.0,2.1,3.9,-0.9,8.8
79,20000320,3,4,1.1,3.6,0.84,1.0295,1.14,0.0,4.0,3.8,-1.5,9.9
80,20000321,3,3,1.4,5.1,0.79,1.0231,1.8,0.0,9.8,6.4,-0.2,13.9
