,date,month,city,cloud_cover,wind_speed,wind_gust,humidity,pressure,global_radiation,precipitation,sunshine,temp_min,temp_max,temp_mean
0,2000-01-01,1,Dusseldorf,8.0,2.5,5.9,0.92,1.02,0.12,0.22,0.0,2.5,6.9,4.2
1,2000-01-02,1,Dusseldorf,6.0,3.0,7.4,0.87,1.03,0.19,0.0,0.7,2.7,7.9,6.5
2,2000-01-03,1,Dusseldorf,7.0,5.5,14.3,0.78,1.02,0.12,0.28,0.0,6.9,9.1,7.7
3,2000-01-04,1,Dusseldorf,7.0,6.0,16.8,0.87,1.02,0.12,0.97,0.0,6.6,9.2,7.8
4,2000-01-05,1,Dusseldorf,4.0,4.5,11.2,0.8,1.02,0.51,0.0,6.5,0.4,8.6,5.2
5,2000-01-06,1,Dusseldorf,6.0,5.5,12.3,0.83,1.02,0.34,0.18,2.8,4.3,10.4,7.6
6,2000-01-07,1,Dusseldorf,6.0,4.5,9.4,0.79,1.02,0.32,0.0,2.5,4.7,8.7,6.6
7,2000-01-08,1,Dusseldorf,8.0,4.7,9.5,0.85,1.02,0.12,0.12,0.0,5.4,7.9,6.6
8,2000-01-09,1,Dusseldorf,6.0,1.2,5.2,0.94,1.03,0.12,0.0,0.0,0.5,6.8,2.5
9,2000-01-10,1,Dusseldorf,8.0,1.3,4.3,0.96,1.04,0.13,0.0,0.0,0.4,2.4,1.1
10,2000-01-11,1,Dusseldorf,3.0,4.4,9.3,0.86,1.04,0.49,0.0,5.4,-0.5,2.9,0.7
11,2000-01-12,1,Dusseldorf,4.0,5.5,10.7,0.79,1.03,0.52,0.0,6.0,-0.9,4.6,2.1
12,2000-01-13,1,Dusseldorf,6.0,4.3,9.1,0.73,1.02,0.13,0.02,0.0,-0.7,3.5,1.3
13,2000-01-14,1,Dusseldorf,8.0,2.2,5.4,0.85,1.02,0.13,0.0,0.0,-1.0,4.8,3.3
14,2000-01-15,1,Dusseldorf,7.0,2.5,10.1,0.77,1.03,0.21,0.0,0.6,1.1,4.2,2.5
15,2000-01-16,1,Dusseldorf,8.0,2.6,8.4,0.93,1.04,0.14,0.23,0.0,0.7,5.7,4.2
16,2000-01-17,1,Dusseldorf,8.0,5.0,10.3,0.9,1.03,0.14,0.13,0.0,5.1,7.0,6.2
17,2000-01-18,1,Dusseldorf,6.0,7.0,16.2,0.78,1.02,0.18,0.1,0.2,4.9,8.1,5.9
18,2000-01-19,1,Dusseldorf,7.0,4.3,8.8,0.79,1.03,0.14,0.02,0.0,3.7,5.1,4.1
19,2000-01-20,1,Dusseldorf,7.0,4.6,12.1,0.87,1.03,0.17,0.08,0.1,1.6,5.0,4.0
20,2000-01-21,1,Dusseldorf,7.0,5.6,13.7,0.79,1.02,0.23,0.08,0.6,3.5,7.2,4.6
21,2000-01-22,1,Dusseldorf,7.0,5.3,12.5,0.86,1.01,0.19,0.52,0.2,2.6,5.4,4.1
22,2000-01-23,1,Dusseldorf,6.0,4.0,9.7,0.83,1.02,0.15,0.08,0.0,-3.4,4.0,-0.8
23,2000-01-24,1,Dusseldorf,3.0,2.0,6.2,0.66,1.03,0.71,0.0,8.1,-7.3,1.0,-2.6
24,2000-01-25,1,Dusseldorf,5.0,2.6,5.2,0.66,1.03,0.6,0.0,5.7,-3.9,2.1,-1.1
25,2000-01-26,1,Dusseldorf,7.0,3.5,6.4,0.72,1.03,0.16,0.0,0.0,-2.5,2.8,1.4
26,2000-01-27,1,Dusseldorf,3.0,4.8,9.4,0.69,1.03,0.61,0.0,5.6,-2.7,4.5,0.2
27,2000-01-28,1,Dusseldorf,6.0,6.8,14.2,0.69,1.02,0.19,0.36,0.1,-3.0,4.2,2.5
28,2000-01-29,1,Dusseldorf,8.0,10.6,19.6,0.89,1.0,0.17,1.64,0.0,4.0,10.3,8.3
29,2000-01-30,1,Dusseldorf,7.0,6.9,21.4,0.81,1.01,0.17,0.25,0.0,6.5,10.6,9.4
30,2000-01-31,1,Dusseldorf,8.0,8.4,20.8,0.81,1.02,0.17,0.05,0.0,9.1,11.0,9.9
31,2000-02-01,2,Dusseldorf,7.0,6.3,12.3,0.75,1.02,0.18,0.03,0.0,7.3,10.0,8.8
32,2000-02-02,2,Dusseldorf,5.0,5.1,10.7,0.84,1.02,0.41,0.14,2.0,4.5,9.1,6.4
33,2000-02-03,2,Dusseldorf,6.0,4.4,9.4,0.81,1.03,0.26,0.0,0.4,4.2,7.8,6.2
34,2000-02-04,2,Dusseldorf,8.0,6.3,12.4,0.82,1.03,0.19,0.31,0.0,4.9,8.8,7.2
35,2000-02-05,2,Dusseldorf,1.0,4.7,8.8,0.62,1.03,0.78,0.0,7.1,5.3,13.3,9.2
36,2000-02-06,2,Dusseldorf,7.0,5.2,10.6,0.67,1.02,0.46,0.27,2.3,6.3,11.0,9.2
37,2000-02-07,2,Dusseldorf,8.0,7.9,16.0,0.78,1.01,0.41,0.1,1.7,6.8,10.3,8.1
38,2000-02-08,2,Dusseldorf,7.0,8.1,22.4,0.78,1.01,0.2,1.03,0.0,7.6,12.2,9.6
39,2000-02-09,2,Dusseldorf,4.0,7.1,18.2,0.72,1.02,0.2,0.01,0.0,2.1,9.5,5.4
40,2000-02-10,2,Dusseldorf,7.0,6.6,14.9,0.72,1.02,0.54,1.0,2.9,2.1,9.8,6.0
41,2000-02-11,2,Dusseldorf,1.0,3.5,7.8,0.77,1.03,0.94,0.0,8.5,-1.4,8.0,3.0
42,2000-02-12,2,Dusseldorf,4.0,6.5,18.0,0.77,1.02,0.69,0.25,4.6,-0.3,8.9,3.6
43,2000-02-13,2,Dusseldorf,4.0,5.4,11.7,0.74,1.02,0.73,0.0,4.9,2.8,9.2,4.9
44,2000-02-14,2,Dusseldorf,4.0,4.0,9.7,0.79,1.02,0.82,0.53,6.0,-1.4,8.4,4.8
45,2000-02-15,2,Dusseldorf,7.0,3.9,9.7,0.83,1.01,0.26,0.53,0.1,4.8,8.5,6.9
46,2000-02-16,2,Dusseldorf,6.0,6.7,18.3,0.83,1.0,0.69,0.3,4.0,-0.4,5.9,2.2
47,2000-02-17,2,Dusseldorf,4.0,5.0,14.0,0.88,1.01,0.39,0.91,0.9,0.3,5.0,1.7
48,2000-02-18,2,Dusseldorf,8.0,5.2,13.8,0.93,1.0,0.24,0.87,0.0,0.3,6.7,3.7
49,2000-02-19,2,Dusseldorf,8.0,5.8,14.5,0.82,1.01,0.32,0.25,0.3,3.3,7.2,4.6
50,2000-02-20,2,Dusseldorf,3.0,3.5,13.1,0.78,1.03,0.61,0.0,2.7,-0.4,7.0,1.7
51,2000-02-21,2,Dusseldorf,7.0,2.8,6.5,0.82,1.03,0.46,0.0,1.2,-4.1,5.2,3.0
52,2000-02-22,2,Dusseldorf,5.0,2.3,6.7,0.83,1.03,0.38,0.0,0.6,1.0,7.1,2.8
53,2000-02-23,2,Dusseldorf,4.0,3.2,7.0,0.75,1.02,0.87,0.53,5.3,1.0,9.9,6.6
54,2000-02-24,2,Dusseldorf,8.0,4.6,10.3,0.89,1.02,0.26,2.02,0.0,5.4,10.0,6.3
55,2000-02-25,2,Dusseldorf,4.0,4.1,16.1,0.78,1.02,0.79,0.07,4.1,1.8,11.6,3.8
56,2000-02-26,2,Dusseldorf,3.0,2.5,5.7,0.74,1.03,1.15,0.0,8.3,-1.0,8.6,2.4
57,2000-02-27,2,Dusseldorf,5.0,6.4,13.4,0.68,1.02,1.17,0.0,8.4,-0.3,12.5,8.1
58,2000-02-28,2,Dusseldorf,5.0,7.4,17.0,0.77,1.01,0.37,0.76,0.3,5.7,13.2,8.3
59,2000-02-29,2,Dusseldorf,6.0,7.7,16.7,0.75,1.01,0.5,0.55,1.1,4.4,9.1,7.5
60,2000-03-01,3,Dusseldorf,7.0,5.1,14.0,0.84,1.0,0.5,0.7,0.8,4.0,8.9,4.9
61,2000-03-02,3,Dusseldorf,6.0,7.1,16.4,0.77,1.02,0.9,0.27,3.9,0.7,7.4,4.7
62,2000-03-03,3,Dusseldorf,7.0,8.3,21.2,0.86,1.01,0.33,0.83,0.0,3.6,9.5,5.4
63,2000-03-04,3,Dusseldorf,4.0,5.9,19.4,0.85,1.02,0.95,0.05,4.1,0.4,4.9,1.2
64,2000-03-05,3,Dusseldorf,5.0,3.7,8.9,0.85,1.03,0.38,0.03,0.1,-1.2,5.4,2.6
65,2000-03-06,3,Dusseldorf,7.0,6.2,12.2,0.65,1.03,0.66,0.0,1.6,1.6,9.5,7.0
66,2000-03-07,3,Dusseldorf,8.0,7.0,14.2,0.83,1.02,0.47,0.32,0.4,6.8,11.7,8.4
